id,name,text,trans
3024014020010,にちか,……うん、録画OK,……嗯，录像OK
3024014020020,にちか,あと、１分,还有，1分钟
3024014020030,にちか,えー……,呃……
3024014020040,にちか,──あ、宅配便……ですか\nはい、今出まーす,──啊，快递……吗\n好的，这就来~
3024014020050,にちか,……あー\nもう始まっちゃってるし,……啊\n已经开始了呢
3024014020060,にちか,…………,…………
3024014020070,にちか,うん──\n大丈夫、うん……,嗯──\n没关系，嗯……
3024014020080,にちか,よかった\nちゃんと、見られるやつ,太好了\n是能让人好好看完的作品
3024014020090,off,初見の人が見ても\nちゃんと全然、大丈夫なやつ,就算是第一次看的人\n也完全没问题的作品
3024014020100,off,──見られる,──能被看到
3024014020110,off,見てもらえる,能被大家看到
3024014020120,off,私たちの……,我们的……
3024014020130,にちか,あ……\n……────,啊……\n……────
3024014020140,にちか,怖くても,就算害怕
3024014020150,美琴,積み重ねて,也要不断积累
3024014020160,にちか,見つめる,凝视着
3024014020170,美琴,ステージ,舞台
3024014020180,にちか,立ちたい,想要站上去
3024014020190,美琴,立ち続ける,持续站立
3024014020191,にちか＆美琴,────────,────────
3024014020200,にちか,…………,…………
3024014020210,にちか,見てる,正看着呢
3024014020220,にちか,見つめ返してる,也在回望着
3024014020230,にちか,うん──,嗯──
3024014020240,にちか,練習、するしかない,只能继续练习了
3024014020250,にちか,たぶん,大概
3024014020260,にちか,あ……,啊……
3024014020270,美琴,お疲れ様,辛苦了
3024014020280,にちか,お疲れ様です……！,您辛苦了……！
3024014020290,美琴,これから仕事？,接下来有工作？
3024014020300,にちか,いえ、ちょっと書類を取りに来ただけなので……,不是，只是来取些文件……
3024014020310,美琴,そうなんだ,这样啊
3024014020320,にちか,あ、あの……,那、那个……
3024014020330,美琴,…………,…………
3024014020340,にちか,…………,…………
3024014020350,美琴,……,……
3024014020360,にちか,えっ,咦
3024014020370,美琴,昨日、見た？,昨天的，看了吗？
3024014020380,にちか,はい……,看了……
3024014020390,美琴,あの時は、やってみようっていう\n気持ちだけだったから,当时只是抱着\n试试看的心情
3024014020400,美琴,改めてちゃんと見てみたの,现在重新认真看了
3024014020410,美琴,悪くなかったね,还不错呢
3024014020420,にちか,そう……ですね,是啊……呢
3024014020430,美琴,呼び止めてごめんね\n気を付けて帰って,突然叫住你真抱歉\n路上小心
3024014020440,にちか,あ……はい\n失礼します,啊……好的\n我先告辞了
3024014020450,にちか,……卵と、お味噌も買っておくか,……顺便买些鸡蛋和味噌吧
3024014020460,にちか,──あ、バター安,──啊，黄油特价
3024014020470,にちか,いや、まだマーガリン残ってるし\n……やめとこ,不过人造黄油还有剩\n……还是算了
3024014020480,にちか,……,……
3024014020490,美琴,悪くなかったね,还不错呢
3024014020500,off,悪くなかった,还不错
3024014020510,off,なら、きっと……,那么，一定……
3024014020520,off,練習すればもっとよくなる,多加练习会更好
3024014020530,にちか,…………,…………
3024014020540,にちか,バター買ってこ,还是去买黄油吧
info,produce_events/302401402.json,,
译者,deepseek-chat,,
