id,name,text,trans
2009020040010,果穂,プロデューサーさん,制作人
0000000000000,プロデューサー,果穂か……！,果穗啊……！
0000000000000,プロデューサー,いつもと声が違ったから、\nびっくりしちゃったよ,声音和平时不一样，\n吓了我一跳
0000000000000,プロデューサー,どうした？　何かあったか？,怎么了？发生什么事了吗？
2009020040020,果穂,はい……！,是的……！
2009020040030,果穂,お話、聞いてほしいんですけど……\n今してもいいですか？,我想和你谈谈……\n现在可以吗？
0000000000000,プロデューサー,もちろん,当然可以
0000000000000,プロデューサー,場所変えるか？\nここだと誰か来るかもしれないから,要换个地方吗？\n这里可能会有人过来
2009020040040,果穂,いえっ！\nそういうのじゃないから、大丈夫ですっ！,不，不是那种事，没关系的！
0000000000000,プロデューサー,了解だ\nじゃあ、まずは──飲み物を準備しよう,明白了\n那先来准备点喝的吧
0000000000000,プロデューサー,はい、どうぞ,给，你喝吧
2009020040050,果穂,ありがとうございますっ,谢谢你
0000000000000,プロデューサー,話っていうのは……もしかして、\n最近果穂がずっと考えていたことかな,你想说的事……是最近果穗一直在想的事情吗？
2009020040060,果穂,！\nはい……！,！\n是的……！
2009020040070,果穂,プロデューサーさん、知ってたんですか？,制作人你都知道了吗？
0000000000000,プロデューサー,はは、知ってるってほどわかってることはないよ\n『果穂がすごく真剣に、何かを考えてるんだな』くらいだ,哈哈，也不是完全知道啦\n只是感觉到‘果穗你很认真地在思考什么’而已
0000000000000,プロデューサー,俺は果穂の力になれそうか？,我能帮上果穗的忙吗？
2009020040080,果穂,はい！,能！
2009020040090,果穂,ウエディングドレスのお仕事をやるって決めた時くらいに、\n公園で具合悪そうなお姉さんに会ったんです,决定接婚纱礼服的工作时，\n在公园遇到了一个看起来身体不舒服的姐姐
2009020040100,果穂,なんか……いなくなっちゃいそうって思って、\nそれで、ちょっとお話ししたんです,感觉她好像快要消失了，\n所以和她聊了聊
2009020040110,果穂,お姉さん、あたしと同じでアイドルだったんですけど、\n同じじゃなくて、ライブアイドルなんだって言ってました,姐姐说她也是偶像，和我不一样，\n她是现场偶像
0000000000000,プロデューサー,ああ、ライブメインの……\nうちとは活動の仕方がちょっと違うな,啊，主要做现场演出的……\n和我们活动方式有点不同呢
2009020040120,果穂,メンバーがどんどん辞めちゃって、\n今ひとりなんだって,她说成员一个个都辞职了，\n现在只剩她一个人了
2009020040130,果穂,ずっと同じメンバーで活動してる\n果穂ちゃんがうらやましい、悔しいって,她羡慕我们一直是同样的成员一起活动，\n还很不甘心
2009020040140,果穂,お姉さん、そう言ってて……,姐姐就是这么说的……
2009020040150,果穂,あたし、放クラがあたしだけになるの、\n考えたこともなかったから……,我从没想过放克拉会只剩我一个人……
2009020040160,果穂,…………,…………
0000000000000,プロデューサー,何を言えばいいかわからなくなっちゃった？,不知道该说什么了吗？
2009020040170,果穂,はい…………,是的…………
0000000000000,プロデューサー,そうか……,这样啊……
0000000000000,プロデューサー,（もしかして、それからずっと、\n相手にどんな言葉をかけてあげられるかを考えてたのか）,（难道，从那以后，\n她一直在想该说什么安慰的话吗）
2009020040180,果穂,あたし、何もできなかったから\nもうらむさんとは会えないんじゃないかなって,我什么都做不了，\n觉得可能再也见不到摇篮了
2009020040190,果穂,もうお話ししてくれないんじゃないかなって\n思ってるんですけど……でも……,觉得她可能不会再跟我说话了……但是……
0000000000000,プロデューサー,そうだな,嗯
0000000000000,プロデューサー,探そう、答え,我们一起去找答案吧
0000000000000,プロデューサー,正解じゃなくていい\n正しくなくてもいいから,不一定要正确\n不管是不是对的都没关系
0000000000000,プロデューサー,果穂が、その時伝えたかったこと\n今から,果穗，那时想传达的东西\n现在开始吧
2009020040200,果穂,……っはい！,……好！
0000000000000,プロデューサー,ただ、すごく申し訳ないんだけど、\n今果穂が抱えてることって俺にも正解がわからないんだ,不过很抱歉，\n现在果穗所面对的事情连我也没答案
0000000000000,プロデューサー,だから、俺が果穂に教えられることの話になるんだけど──,所以，说到我能教给果穗的事情──
0000000000000,プロデューサー,お姉さんの状況はさ、\nそれぞれの決断によってできてるんだ,姐姐的情况啊，\n都是因为各自的决定才形成的
0000000000000,プロデューサー,お姉さんがライブアイドルをやるって決めて、\nお姉さんの仲間もライブアイドルをやるって決めて,姐姐决定成为现场偶像，\n姐姐的伙伴们也决定成为现场偶像
0000000000000,プロデューサー,お姉さんは続けるために頑張るって決めて,姐姐决定努力继续下去
0000000000000,プロデューサー,お姉さんの仲間は──理由はわからないけど、\n何かを決断したから、辞めることになった,姐姐的伙伴们──虽然理由不明，\n但他们做了某种决定，所以才选择了退出
0000000000000,プロデューサー,選んでるんだ、みんな,大家都是在选择的
0000000000000,プロデューサー,それぞれが大事にしたいものを、それぞれの方法で,各自用自己的方式珍惜着重要的东西
2009020040210,果穂,それぞれ、選んでる……,大家都是在选择……
2009020040220,果穂,らむさんは、ひとりになったんじゃなくて、\nひとりを選んだってことですか……？,那就是说，拉姆不是变成了一个人，\n而是选择了一个人……吗？
0000000000000,プロデューサー,うーんどうだろう\nそれはちょっと違う気もする,嗯，这个嘛，\n我觉得有点不太一样
0000000000000,プロデューサー,これは俺の憶測だけど、ひとりを選んでるんじゃなくて──,这是我的猜测，不是选择了一个人──
0000000000000,プロデューサー,ずっと、グループを選んでるんだと思う,而是一直在选择组合
2009020040230,果穂,…………,…………
2009020040240,果穂,グループ……,组合……
0000000000000,プロデューサー,たとえば、果穂しかいなくなってしまった放クラを\n放クラだって言えるのかは、俺にはわからない,比如说，只剩下果穗一个人的放克拉，\n还能算是放克拉吗，我可不确定
0000000000000,プロデューサー,俺は、果穂と、智代子と、樹里と、凛世と、夏葉の\n５人がいるからこそ放クラなんだって思っているから,我觉得正因为有果穗、智代子、树里、凛世、夏叶\n这五个人，才是放克拉
0000000000000,プロデューサー,でも、これは正解じゃないんだよ\n正解は、人の数だけある,不过，这并不是唯一答案\n正确答案有多少，就有多少人
2009020040250,果穂,……はい,……是的
0000000000000,プロデューサー,ちょっと難しい言い方になっちゃったな,说得有点难懂了呢
0000000000000,プロデューサー,どうだろう,怎么样
select,,ヒントになりそうかな,会不会有点启发呢
