id,name,text,trans
0000000000000,プロデューサー,『迎えに行くから、ビルの入口で待っててもらえるか？』,『我去接你，你能在大楼入口等一下吗？』
1026004030010,ルカ,……,……
0000000000000,記者,斑鳩ルカさんですよね,您是斑鳩路加小姐吧
1026004030020,ルカ,……,……
0000000000000,記者,それとも──\n八雲なみさんのお嬢さんと言った方がいいでしょうか,还是说──\n应该称您为八雲なみ小姐的女儿呢？
1026004030030,ルカ,────ッ──────！！,────呃──────！！
0000000000000,記者,そんなに構えないでください\n怪しい者ではございません,请不要那么拘谨\n我可不是可疑的人
0000000000000,記者,──という出版社で記者をやっております\n──と申します。こちら名刺です,我在那家出版社当记者\n我叫──。这是我的名片
0000000000000,記者,斑鳩さんと八雲さんのご関係について\n記事にさせていただけませんか？,关于斑鳩小姐和八雲女士之间的关系\n能让我写篇报道吗？
0000000000000,記者,斑鳩さんにとっても\n悪いお話ではないと思うんです────,我觉得对斑鳩小姐来说\n也并非什么坏消息────
1026004030040,ルカ,（────────ああ、ダメだ）,（────────啊，糟了）
1026004030050,ルカ,（コイツは何を言ってる？　私とママが何──\nいまさらママを引きずり出して、何がしたいってんだよ）,（这家伙在说什么？我和妈妈是什么──\n现在把妈妈扯出来，他到底想干什么？）
1026004030060,ルカ,（──嫌だ、会わせたくない。会わせられない\nこんなヤツを──ママと──！）,（──不行，我不想让他们见面。绝对不能让这种人跟妈妈见面──！）
0000000000000,記者,コメティックとして初のワンマンライブを控えた\nタイミングですし,正值CoMETIK首次单人演唱会在即的时机
0000000000000,記者,宣伝にはうってつけだと思うのですが……\nいかがでしょう？,我觉得这正是做宣传的好机会……\n您觉得如何？
1026004030070,ルカ,！,！
1026004030080,ルカ,（────そうだ\n今、騒ぎを起こしたら）,（────没错\n如果现在闹出事来）
1026004030090,ルカ,（コメティックはどうなる──────？）,（CoMETIK会变成──────？）
1026004030100,ルカ,……っ……,……呃……
0000000000000,記者,未だカルト的な人気を誇る八雲さん、\n若者にカミサマと崇拝される斑鳩さん,依然拥有邪教般人气的八雲女士，\n被年轻人奉为神明的斑鳩小姐
0000000000000,記者,考えてみれば共通点はありました──,细想起来，两人之间确实有共通点──
0000000000000,記者,今の斑鳩さんを見ていると、お母様の血なんだなと思います\nあの伝説のアイドル、八雲なみの──,看着如今的斑鳩小姐，我觉得她继承了母亲的血脉\n那位传说中的偶像，八雲なみ的──
1026004030110,ルカ,──っ、クソ……！,──该死……！
0000000000000,記者,このあとお時間ありますか？\n斑鳩さんのお話も聞きたいですし、今後の予定も決めたくて,接下来您有时间吗？\n我想听听斑鳩小姐的故事，也商量一下今后的计划
0000000000000,記者,やはり八雲さんへのインタビューも欠かせないですから,毕竟，采访八雲女士也不可或缺
1026004030120,ルカ,誰が──,谁──
0000000000000,記者,ほら、行きましょう\n斑鳩さん,走吧，斑鳩小姐
1026004030130,ルカ,っ、放せ──,喂，放开我──
0000000000000,記者,絶対話題になりますから\nあなたの事務所にとっても悪い話ではないでしょう？,这绝对会成为热点\n对您的事务所来说，也不是坏消息吧？
1026004030140,ルカ,！,！
0000000000000,記者,お互いに、いい関係が築けると思うんですよ\n……ね？　斑鳩さん。賢く判断してください,我觉得我们可以建立起良好关系\n……对吧？斑鳩小姐，请您做出明智的选择
1026004030150,ルカ,────っ……！,────……！
1026004030160,ルカ,（どうしよう、どうしたら、ああ──）,（怎么办，该怎么办，啊──）
1026004030170,ルカ,（────────誰か）,（────────有人吗）
0000000000000,プロデューサー,手を放していただけますか\n彼女は弊社のタレントです,请放开她\n她可是我们公司的艺人
1026004030180,ルカ,……！,……！
0000000000000,記者,っ、あなたは,呃，你是……
0000000000000,プロデューサー,彼女のプロデュースを担当している者です,我是负责她育成的人
0000000000000,プロデューサー,お名刺は私の方で頂戴しますね\n──ああ、記者の方でしたか,您的名片就由我收下吧\n──啊，您是记者啊
0000000000000,プロデューサー,取材のアポでしたら事務所にご連絡ください\nそれとも今伺いますか？,如果是采访预约，请联系事务所\n还是现在就来？
0000000000000,記者,ああ──いえ、そんな……\n全然、そんなカタい感じではなくて……,啊──不，没那回事……\n一点也不是什么板着脸的样子……
0000000000000,プロデューサー,…………,…………
0000000000000,記者,……まあ、今日のところは失礼しますよ……！\nそれでは──,……好吧，今天先告辞了……！\n那么──
0000000000000,プロデューサー,──ルカ！　大丈夫だったか！？,──路加！你没事吧！?
1026004030190,ルカ,────……,────……
0000000000000,プロデューサー,遅くなってすまなかった……！\n怪我とかは──してないな……！？,真抱歉让你久等了……！\n没有受伤吧……!?
1026004030200,ルカ,……,……
0000000000000,プロデューサー,一度事務所に戻ろう\n落ち着いた方がいい──,先回事务所去吧\n比较冷静会好些──
1026004030210,ルカ,……そうする,……好，就这么办
info,produce_events/102600403.json,,
译者,o3-mini,,
