id,name,text,trans
1026005040010,ルカ,美琴！\n今日も残ってくんでしょ？,美琴！\n今天也要留下来练习对吧？
1026005040020,美琴,うん\n……ルカは？,嗯\n……路加你呢？
1026005040030,ルカ,決まってるじゃん\n美琴がやるのに私がやらないわけないよ,这不是明摆着嘛\n美琴都练我怎么可能不练
1026005040040,ルカ,私たちはふたりでひとつなんだから,我们俩可是合二为一的存在啊
1026005040050,off,ひんやりして　ね　ぴったりじゃない,冰凉的触感　看　多合拍
1026005040060,ルカ,コンテンポラリー────！,Contemporary────！
1026005040070,ルカ,……それでいこう、美琴\nそれなら……！,……就这么定了，美琴\n这样的话……！
1026005040080,美琴,……うん\n私たち基礎はあるし、挑戦してみたい,……嗯\n我们有扎实的基础，想挑战看看
1026005040090,off,今夜　わたしを　つれていく靴,今夜　带我远行的舞鞋
1026005040100,off,今夜　わたしを,今夜　带我
1026005040110,off,つれていく────,远行────
0000000000000,事務所幹部社員,斑鳩は今、若い子の間で『カミサマ』なんて呼ばれてます\nこの機を逃すわけにはいかないんじゃないですか？,"斑鸠现在被年轻粉丝称为""神明大人""\n这种机会可不能错过吧？"
0000000000000,事務所社長,そうだねぇ──,是啊──
0000000000000,マネージャー,待ってください……！\n斑鳩には、緋田とのユニット活動が──,请等一下……！\n斑鸠和绯田的团体活动──
0000000000000,事務所社長,わかってるよ、そっちを白紙にするわけじゃない\nソロを優先させるだけ,我知道，不是要取消那边\n只是优先发展个人活动
0000000000000,事務所社長,あの子が売れれば、ユニットにも箔がつくでしょ？,只要她红了，团体不也跟着沾光吗？
0000000000000,マネージャー,……！,……！
0000000000000,マネージャー,（そうだとしても──……！　ルカは何より、\n美琴とのユニットを楽しみにしてるのに────）,（即便如此──……！路加最期待的\n就是和美琴的团体活动啊────）
1026005040120,ルカ,────んでだよ……！　ハァ……！？\nなんでそうなるんだよ……！　勝手に決めんな…………！,────搞什么啊……！哈啊……！？\n凭什么擅自决定……！开什么玩笑…………！
0000000000000,マネージャー,……ルカ、ごめんね\nその、大事な時期だし────,……路加，对不起\n现在正是关键时期────
0000000000000,マネージャー,ルカ、ルカ聞いて……！\n私からもまた掛け合ってみるから……！,路加，路加你听我说……！\n我会再去和上面沟通的……！
1026005040130,ルカ,……っ,……呜
0000000000000,マネージャー,上の人たちも、ユニット活動を終わりにする気はないの\nルカが有名になるチャンスを逃したくないだけで──,高层也没有要终止团体活动的意思\n只是不想错过让你成名的机会──
0000000000000,マネージャー,必ず、美琴と活動できる日が来るから……！,总有一天，一定能和美琴重新活动的……！
1026005040140,ルカ,…………、わかった……,…………知道了……
0000000000000,マネージャー,──……わかってる……！\nでもごめん。今はこっちに集中したいの──あっ,──……我明白的……！\n但对不起，现在必须专注这边──啊
0000000000000,マネージャー,（────今は、私のことよりもルカのこと……！\n私がなんとかしなきゃ……！）,（────现在比起我自己，路加更重要……！\n我必须想办法……！）
0000000000000,マネージャー,（ルカの希望を叶えるためには──\n……会社が望む結果を出すのが、一番の近道）,（要实现路加的愿望──\n……达成公司期望的结果才是最快途径）
0000000000000,マネージャー,……我慢させてごめんね、ルカ……\n一緒に頑張るから……！,……委屈你了路加……\n我会陪你一起努力的……！
0000000000000,トレーナー,集中して！　斑鳩さん！\nそれじゃせっかくの曲が泣いちゃう,集中精神！斑鸠小姐！\n这样好曲子都被糟蹋了
0000000000000,トレーナー,ソロ曲なんて、もらいたくてももらえない子、\n山ほどいるんだからね？,多少人求都求不到solo曲呢，\n你该知足了吧？
1026005040150,ルカ,────,────
1026005040160,ルカ,もうずっと……,已经好久……
0000000000000,マネージャー,ん？,嗯？
1026005040170,ルカ,もうずっと\n美琴と、踊ってない……,已经好久\n没和美琴，一起跳舞了……
0000000000000,マネージャー,ルカ……,路加……
1026005040180,ルカ,どう、見えてんのかな……\n美琴には────────────,在美琴眼里……\n我看起来────────────
0000000000000,マネージャー,ユニット活動の再開時期についてなのですが──,关于团体活动重启的时间──
0000000000000,事務所幹部社員,タレント個人の希望ばっかり優先させられないよ,不能总迁就艺人个人意愿
0000000000000,事務所幹部社員,事務所の方針に納得してもらえるよう話をするのは\n君の仕事だろう？,说服他们接受公司方针\n不就是你的工作吗？
0000000000000,マネージャー,……！？\nそれでは話が違────！,……！？\n这和当初说好的────！
0000000000000,事務所幹部社員,だったら八雲なみの件を公にするかい？,要不把八云那件事公开？
0000000000000,マネージャー,！,！
0000000000000,事務所幹部社員,そうすれば売り方も変えられる\nユニット活動も近づくかもね,这样宣传策略就能调整\n团体活动说不定也能提前
0000000000000,マネージャー,～～……！,～～……！
1026005040190,ルカ,もう少しだけ我慢すれば\nやれるって言われてんだよ、ユニット……,再忍耐一阵子\n就能重启团体活动了……
1026005040200,ルカ,すっげェから……私たち──────,我们超厉害的──────
1026005040210,ルカ,見たら、びっくりするから……\n相性も、最高で──────……,看到绝对会吓一跳……\n我们的默契简直──────……
0000000000000,スタッフ,そう、なんすね……,那个，听说……
1026005040220,ルカ,え──────────────────,诶──────────────────
1026005040230,ルカ,解散…………て──────────？,解散…………？──────────
1026005040240,ルカ,（──大丈夫、大丈夫……！）,（──没事的，没事的……！）
1026005040250,ルカ,（今だけのこと。しばらく我慢すれば、\nユニットとして活動できるってマネージャーも言ってた）,（只是暂时的。经纪人也说过\n只要再坚持段时间就能重启团体活动）
1026005040260,ルカ,（もう少ししたら、美琴と────）,（再过不久，就能和美琴────）
1026005040270,ルカ,────バカみてぇ,────像个傻子一样
info,produce_events/102600504.json,,
译者,deepseek-chat,,
