id,name,text,trans
3021023020010,円香,──で、私の番……,──那么，轮到我了……
3021023020020,円香,……とりあえずみんなが撮ったやつみて……\n考えるのはそれからで,……先看看大家拍的……\n再来考虑其他的事
3021023020030,透,えっと──,嗯──
3021023020040,透,えー\n起きました,诶——\n我醒了
3021023020050,透,あー……,啊——……
3021023020060,円香,──何？,──什么？
3021023020070,透,あれ、また鳴ってる,咦，又响了
3021023020080,円香,それ、予備のアラーム\n浅倉が撮影のこと忘れても、一度は防げるから,那个是备用闹钟\n就算浅倉忘了拍摄，也能挡一次
3021023020090,透,ふふ、二段構えだ,呵呵，两道保险
3021023020100,円香,ねえ……そのカメラ、ランプ点いてるけど\nまさかずっと回してない？,喂……那台相机指示灯亮着呢\n不会是一直在录吧？
3021023020110,透,え？\nあー、そうかも,诶？\n啊——可能是吧
3021023020120,円香,ちょっと……,等等……
3021023020130,透,樋口、行こ\nオフっぽいとこ,樋口，走吧\n去个看起来像休息的地方
3021023020140,円香,…………とりあえず、一旦カメラ止めて,……总之，先把相机关一下
3021023020150,円香,………………,………………
3021023020160,円香,次……──,下一个……──
3021023020170,小糸,こ、こんにちは……\n福丸小糸です……！,哈、你好……\n我是福丸小糸……！
3021023020180,小糸,これからレッスンなので\n準備をしているところです……！,马上要上课了\n正在做准备……！
3021023020190,小糸,ジャージと、シューズと、タオルと……────,运动服、鞋子、毛巾还有……────
3021023020200,小糸,……うん、ばっちり……！\nこれで、頑張ってきます……──行ってきます！,……嗯，准备好了……！\n我会加油的……──我出发了！
3021023020210,小糸,みんな、今カメラ回してるよ……！,大家，相机现在在录哦……！
3021023020211,透＆円香＆雛菜,うぃー,"耶～ "
3021023020220,小糸,えっと、今は休憩中です,嗯，现在是在休息中
3021023020230,小糸,わ、わたしたちが食べてるおやつは……\n……えっと……,我、我们现在吃的点心是……\n……嗯……
3021023020240,雛菜,ひと口サイズのフィナンシェ～\n雛菜、これすき～,一口大小的费南雪～\n雏菜，很喜欢这个～
3021023020250,円香,小糸が食べてるのはスイートポテト味,小糸吃的是红薯味的
3021023020260,小糸,そ、そう……！\nいろんな味があります……！,是、是这样……！\n有好多不同口味的……！
3021023020270,透,何やるんだっけ、次,接下来要干什么来着
3021023020280,雛菜,さっき覚えた振り付けで踊るんでしょ～？,不是要跳刚才学的舞蹈动作吗～？
3021023020290,円香,浅倉、もう忘れたとか,浅倉，又忘了吗？
3021023020300,透,んー,嗯——
3021023020310,小糸,……レッスンは、わたしの課題と向き合う時間だけど……\nみんなと一緒だと、楽しいこともいっぱいです,……练习是面对自己课题的时间……\n不过和大家一起的话，也有很多快乐的事情
3021023020320,小糸,次のレッスンも頑張ってきますね……！,下一堂课我也会努力的……！
3021023020330,円香,……次、雛菜,……下一个，雏菜
3021023020340,雛菜,はい～、市川雛菜です～\nご視聴ありがとうございます～,好～，我是市川雏菜～\n感谢收看～
3021023020350,雛菜,最近、すっごく寒いから\nこのほうじ茶ラテよく飲んでます～,最近非常冷\n所以我经常喝这款焙茶拿铁～
3021023020360,雛菜,えっと、雛菜はこれからお買い物～！\nかわいいのたくさん見つけてくるね～,嗯，雏菜现在要去购物～！\n会找到很多可爱的东西给大家看～
3021023020370,雛菜,──あ～、このネイルポリッシュ\n雛菜がすきなやつだ～,──啊～，这个指甲油\n是雏菜喜欢的款～
3021023020380,雛菜,こっちの色は透先輩の爪にも塗ってるやつ～\nそれから……────,这边的颜色也是涂在透前辈指甲上的那款～\n然后……────
3021023020390,雛菜,ふぅ……たくさんお買い物した～,呼……买了好多东西～
3021023020400,雛菜,気になってたルームウェアとか春服とか……,心仪的居家服啦、春装之类的……
3021023020410,雛菜,あ、あと、ユアクマちゃんのキーホルダーも\nクレーンゲームでゲットできたよ～,啊，还有，ユアクマ酱的钥匙扣也\n在夹娃娃机里抓到了～
3021023020420,雛菜,あは～……すっごく楽しかった～♡\nじゃあまたね～！,啊哈～……太好玩了～♡\n那就下次见～！
3021023020430,円香,…………,…………
3021023020440,off,どうする？,怎么办？
3021023020450,off,適当にそれらしく撮っておけば\n良さそうだけど,随便拍得像样一点就好了吧\n似乎也行
3021023020460,off,何かちょうど良くあればそれでも……,如果有什么刚好合适的也可以……
3021023020470,円香,……,……
3021023020480,円香,……そういえば\n初詣に行くんだっけ,……说起来\n要去初詣（新年参拜）来着吗
3021023020490,円香,……それでいいか,……那就那样吧
3021023020500,円香,許可が取れるならだけど,不过要是能拿到许可的话
info,produce_events/302102302.json,,
译者,gpt-5-mini,,
