id,name,text,trans
0000000000000,off,『私はリーゼ\n一国の姫』,『我是莉泽\n一国的公主』
0000000000000,off,『平和を守るためとかで\n望まない相手と結婚させられるの』,『为了守护和平什么的\n被迫和不愿意的人结婚』
0000000000000,off,……おとなしくそうしてあげてもいいけど\nそれじゃあ、私らしくないわよね,……虽然可以乖乖地接受\n但那样的话，可不像我呢
0000000000000,off,（ちょっと、やってやろう♪）,（稍微来点真格的吧♪）
0000000000000,off,『貴方がどうやって私を幸せにするか、\n楽しみにさせてもらおうじゃない？』,『让我期待看看你到底怎么让我幸福吧？』
0000000000000,off,『退屈姫が政略結婚をしてみたら！？』\n実写ドラマ化企画進行中！,『无聊公主尝试政治联姻！？』\n真人剧企划正在进行中！
2017018010010,あさひ,……,……
0000000000000,制作会社社員,現在はこちらの告知映像を\n各メディアで流している状況です,目前这段告知视频正在\n各大媒体播放
0000000000000,プロデューサー,承知しました\n１話台本の完成は、いつ頃の予定でしょうか,知道了\n第一话的剧本预计什么时候完成？
0000000000000,制作会社社員,２週間後となります,两周后
0000000000000,制作会社社員,ですので、それまでに原作理解を\n深めておいていただけますと幸いです,所以，希望那之前能加深对原作的理解
0000000000000,プロデューサー,かしこまりました\n……あさひからは何かあるか？,明白了\n……朝日那边有什么情况吗？
2017018010020,あさひ,大丈夫っす,没问题的
0000000000000,制作会社社員,ありがとうございます\nでは、引き続きよろしくお願いします,谢谢\n那么请继续多多关照
0000000000000,女性,あたしはこのドレスがいいな～,我喜欢这件礼服～
0000000000000,男性,ちょっと試してみようか\n君ならどれでも似合うと思うけどね,来试试看吧\n我觉得你穿哪件都合适
2017018010030,あさひ,……,……
0000000000000,広告,『Bridal fair\n～ふたりの夢を叶える日のために～』,『Bridal fair\n～为实现两人的梦想之日～』
2017018010040,あさひ,…………,…………
0000000000000,プロデューサー,……？\nどうした？,……？\n怎么了？
2017018010050,あさひ,なんでもないっす,没什么
0000000000000,プロデューサー,……\nそうか……,……\n是吗……
0000000000000,テレビの音声,６月といえばジューンブライド！\n本日は、人気の式場の特集を──,说到六月就是六月新娘！\n今天我们特辑介绍热门婚礼场地──
2017018010060,あさひ,……あ、また,……啊，又来了
0000000000000,プロデューサー,……ああ、結婚の話か\nドラマでそういうシーンがあるから、気になるよな,……啊，是结婚的话题\n因为剧里有这种场景，所以你会在意吧
2017018010070,あさひ,……そうなんすかね,……是这样吗
2017018010080,あさひ,プロデューサーさん\n結婚ってなんでするっすか？,制作人\n结婚到底是为什么呢？
0000000000000,プロデューサー,……難しい質問だな,……这是个难题啊
2017018010090,あさひ,難しいことなんすか？,难吗？
0000000000000,プロデューサー,あ、待ってくれ……！\n俺がそう思ってるだけかも……,啊，等一下……！\n可能只是我这么想而已……
0000000000000,プロデューサー,…………,…………
0000000000000,プロデューサー,や、そうだな……,嗯，是啊……
0000000000000,プロデューサー,答えが多すぎて『これ！』とは言えないから\n簡単じゃないな……,原因太多了，没法说“就是这个！”\n所以不简单……
0000000000000,プロデューサー,結婚する理由は、夫婦によって\nそれぞれ違うし……,结婚的理由对每对夫妻来说\n都不一样……
2017018010100,あさひ,ふむ……\nまぁ、言われてみればそうかもしれないっすね,嗯……\n这么说的话，好像也是呢
2017018010110,あさひ,……でも、たとえばでいいっすから\nなんか教えてほしいっす！,……不过，就算是举个例子也行\n能不能告诉我点什么！
0000000000000,プロデューサー,そうか……。じゃあ、俺が\n『これはよくありそう』って思う理由で……,这样啊……那我来说说\n我觉得“比较常见”的理由吧……
select,,相手を\n幸せにしたいから,想让对方幸福
select,,安心するから,感到安心
select,,好きで\nしょうがないから,因为太喜欢对方
0000000000000,プロデューサー,……とか──,……之类的──
2017018010120,あさひ,結婚することで幸せにできるっすか？,结婚真的能让人幸福吗？
0000000000000,プロデューサー,えーっと……,嗯……
0000000000000,プロデューサー,もちろん、その覚悟はあった上でだけど……,当然，是在做好心理准备的情况下……
0000000000000,プロデューサー,……,……
0000000000000,プロデューサー,──あさひに好きな人がいたとして,──假如朝日有喜欢的人
2017018010130,あさひ,いないっすよ,没有啦
0000000000000,プロデューサー,たとえばの話で……！\n──いや、ちょっと別の説明、考えるよ……！,只是举个例子……！\n──不，我得换个说法……！
0000000000000,プロデューサー,ただ横にいてくれるだけで、心が楽になる……,如果有个人\n只是静静地陪着你，心里就觉得轻松……
0000000000000,プロデューサー,なんて人がいたら\nずっと一緒にいたいと思わないか？,遇到这样的人，你不想一直在一起吗？
2017018010140,あさひ,……？\nいるっすか？　そんな人,……？\n有那种人吗？
0000000000000,プロデューサー,はは、そういうあさひの中の価値観を\nひっくり返してくれるような人が現れたらってことだよ,哈哈，就是说如果出现一个能颠覆你价值观的人
2017018010150,あさひ,へー……,是吗……
0000000000000,プロデューサー,この人と一緒なら何をしてても楽しい\nって思えたら、素敵じゃないか？,觉得和这个人在一起做什么都开心\n那不是很美好吗？
2017018010160,あさひ,まぁ、そっすね,嘛，也是呢
2017018010170,あさひ,けど、そんな人いるっすかね？,不过，真的有那种人吗？
0000000000000,プロデューサー,……いるさ\nきっとどこかに、な,……有的\n一定在某个地方存在
2017018010180,あさひ,ふーん,嗯～
info,produce_events/201701801.json,,
译者,gpt-4.1-mini,,
