id,name,text,trans
2024014030010,にちか,……あれ、絆創膏切れてるのかな\nどこ置いたっけ──,……咦，创可贴用完了吗\n放哪来着──
2024014030020,はづき,ただいま～,我回来啦～
2024014030030,にちか,おかえりー,欢迎回来
2024014030040,はづき,……,……
2024014030050,はづき,これ、使う？,要用这个吗？
2024014030060,にちか,え……,啊……
2024014030070,はづき,ストック切れてたかも～、って思って\n帰りに買っといた,想着可能库存用完了～\n回来路上就买了
2024014030080,にちか,……どうせプロデューサーさんに聞いたんでしょ\nオーディションのこと,……肯定是问过制作人先生了吧\n关于试镜的事
2024014030090,にちか,──何回もやってきたのに本番でできないとか……,──明明练习了那么多次正式演出却搞砸什么的……
2024014030100,はづき,……,……
2024014030110,はづき,その方が美味しいって、思ったからでしょ,因为你觉得那样更美味吧
2024014030120,はづき,皮つきのリンゴも美味しいけどね～,虽然带皮的苹果也很好吃呢～
2024014030130,にちか,…………,…………
2024014030140,にちか,ご飯は？,吃饭了吗？
2024014030150,はづき,ん～……,嗯～……
2024014030160,はづき,お腹は空いてるけど\n消化にエネルギー使うの、なんかもったいない～,肚子是饿了\n但把能量用在消化上总觉得好浪费～
2024014030170,にちか,えー……\nなんか食べときなよ,诶……\n多少吃点嘛
2024014030180,はづき,……うん\nとりあえず座ってから考える,……嗯\n先坐下再想
2024014030190,はづき,はあ～…………,哈啊～…………
2024014030200,はづき,…………,…………
2024014030210,はづき,…………,…………
2024014030220,にちか,…………,…………
2024014030230,にちか,軽いものなら食べられるー？,清淡的东西能吃得下吗？
2024014030240,はづき,？\nうん～,？\n嗯～
2024014030250,にちか,ちょっと待ってて,稍等一下
2024014030260,はづき,は～い,好～的
2024014030270,はづき,…………,…………
2024014030280,にちか,どうぞ,请用
2024014030290,はづき,ふふ、皮付き,呵呵，带皮的
2024014030300,はづき,にちかも食べるでしょ～？,日花也要一起吃吧～？
2024014030310,にちか,……,……
2024014030320,はづき,…………,…………
2024014030330,はづき,それじゃ、いただきます,那我开动啦
2024014030340,はづき,……美味しい～,……好好吃～
2024014030350,にちか,……よかったね,……太好了呢
2024014030360,にちか,そうですか,这样啊
0000000000000,プロデューサー,今回は残念な結果になったけど、\nこれからも……探し続けてかまわないか？,虽然这次结果很遗憾\n不过今后……可以继续寻找吗？
0000000000000,プロデューサー,にちかが輝ける場所をさ,寻找能让日花绽放光芒的地方
2024014030370,にちか,……どうぞ,……请便
0000000000000,プロデューサー,ははっ……\nうん,哈哈……\n嗯
0000000000000,プロデューサー,……あのさ、にちか──,……那个啊 日花──
2024014030380,にちか,はい……,在……
select,,指は大丈夫か？,手指没事吧？
select,,リンゴの\n皮剥きってさ,削苹果皮\n这种事啊
select,,難しいよな,挺难的呢
2024014030390,にちか,あー、はい\nちょっと切っただけなので,啊、没事\n只是稍微划到一下
0000000000000,プロデューサー,なら、よかった,那就好
2024014030400,にちか,びっくりはしましたけど\n昔はよく切っちゃったりしてたので,虽然吓了一跳\n不过以前也经常划伤
2024014030410,にちか,もう、痛くないです,已经不疼了
0000000000000,プロデューサー,やっぱり簡単じゃないよな,果然没那么简单呢
0000000000000,プロデューサー,しかも人前でなんて\n俺だったら、きっと手が震える,而且还要在别人面前做\n换作我肯定会手抖
2024014030420,にちか,もしかして……\n蒸し返そうとしてます？,该不会……\n是想翻旧账吧？
0000000000000,プロデューサー,あ、すまん！\nそういうつもりはなかったんだが──,啊 抱歉！\n我没那个意思──
0000000000000,プロデューサー,そう取られてもしょうがない言い方をしてしまった、かもな\n……悪かった,可能说话方式让你误会了吧\n……对不起
2024014030430,にちか,別にいいですけど,倒也没关系啦
2024014030440,にちか,でももし……\n次があったら──,不过如果……\n还有下次的话──
2024014030450,にちか,まぁ、『もし』とかないんですけどねー,"啊 不过这种""如果""应该不会有啦"
2024014030460,にちか,え……,欸……
0000000000000,プロデューサー,それに悔しい\nいつもできていることが、できなくなるっていうのは,而且很不甘心吧\n平时能做到的事突然做不到了
0000000000000,プロデューサー,すごく悔しいことだと思うよ,我觉得这种心情特别难受
2024014030470,にちか,……別に、もう大丈夫なので,……已经没关系了
2024014030480,にちか,できなきゃいけない時にやれなきゃ意味ないって,该做到的时候做不到就没有意义
2024014030490,にちか,それは、ほんとにそうです,这话确实没错
2024014030500,にちか,でも──\n結果は変えられないので,但是──\n结果已经无法改变了
info,produce_events/202401403.json,,
译者,deepseek-chat,,
