id,name,text,trans
3018018010010,果穂,～～っ……！,～～……！
3018018010020,果穂,あさひさん、スゴい……！,朝日小姐，太厉害了……！
3018018010030,果穂,（探検の時と、パフォーマンスの時……！\n全然ちがう……！）,（探险时和表演时……！\n完全不一样……！）
3018018010040,果穂,（ふゆさんも愛依さんも年上なのに────）,（冬优子姐和爱依姐都比我年长────）
3018018010050,果穂,（そんなふうに見えない……！\nあさひさん、スゴい……！）,（看起来却完全不像……！\n朝日小姐，太厉害了……！）
3018018010060,果穂,あたしも、あんなふうに──,我也想变得那样──
3018018010070,果穂,！\nあさひさんを研究したらなれるかな！？,！\n研究朝日小姐的话能做到吗！？
3018018010080,夏葉,『──今ので、今日話しておくべきことは全部かしら』,『──刚才说的，是今天该谈的全部内容吗』
3018018010081,一同,はい！,是的！
3018018010090,夏葉,『ありがとう、じゃあOKね』,『谢谢，那就OK了』
3018018010100,樹里,『おー、夏葉もサンキュー』,『哦，夏叶也谢谢你』
3018018010101,果穂＆智代子＆凛世,ありがとうございます！,谢谢大家！
3018018010110,夏葉,『ううん』,『不客气』
3018018010111,一同,────……,────……
3018018010120,智代子,『……──えー、こほん』,『……──嗯，咳咳』
3018018010130,智代子,『自分、雑談の方よろしいでしょうか』,『我想聊聊闲谈，可以吗？』
3018018010131,一同,はい！,可以！
3018018010140,智代子,『今日自主練の帰りにふゆちゃんに会ったんだけどね』,『今天自主练习回来的路上遇到了冬优子』
3018018010150,智代子,『合宿でやったとこ、\n３人とももうほぼできるようになってるんだって……！』,『她说合宿时练习的部分，\n三个人几乎都已经会了……！』
3018018010160,樹里,『ほんとか！　すげーな……！』,『真的吗！太厉害了……！』
3018018010170,樹里,『ストレイライトって、 \nいっつも完璧だなって思うんだけど』,『我一直觉得Straylight总是很完美』
3018018010180,樹里,『それってさ、早い段階で振り入れが終わってて、仕上げに\nガッツリ時間取れてるから、ってのもあるんだろうなー』,『这也是因为动作编排早早结束，之后有充足时间来完善吧』
3018018010190,凛世,『はい……』,『是的……』
3018018010200,樹里,『合宿の時、\nちょうど愛依とそういう話になったんだけど』,『合宿时，我和爱依正好聊到这件事』
3018018010210,樹里,『あさひが一発で振り覚えて、\n冬優子もすぐできるようになって』,『朝日一口气就记住了动作，\n冬优子也很快学会』
3018018010220,樹里,『愛依も冬優子に教えてもらうと\n振りがしっかり入るみたいでさ』,『爱依向冬优子请教，\n动作也学得很扎实』
3018018010230,凛世,『冬優子さんは教え上手……』,『冬优子小姐很会教人……』
3018018010240,凛世,『愛依さんもまた……』,『爱依小姐也是……』
3018018010250,凛世,『教えを自分のものにできる……\n実力の持ち主……』,『能把学到的东西变成自己的实力……』
3018018010260,樹里,『そうそう！　そういうことなんだよな！』,『对对！就是这个意思！』
3018018010270,夏葉,『３人ともスキルが高いのはもちろん、\nお互いから刺激を受けて、より高みを目指しているものね』,『三个人不仅技艺高超，\n还互相激励，追求更高的境界』
3018018010280,智代子,『仲間でありライバル──！』,『既是伙伴也是对手──！』
3018018010290,夏葉,『ええ』,『没错』
3018018010300,果穂,カッコいいです……！,真帅气……！
3018018010310,智代子,『ねー！』,『是吧！』
3018018010320,智代子,『──でも、そういうことで言えば、ストレイライトと\n我々放クラも２８３の仲間でありライバルなので──？』,『──不过这么说的话，Straylight和我们放课后也都是283的伙伴和对手──？』
3018018010330,夏葉,『彼女たちに倣って、\n合宿での刺激を糧に、より高みを目指していけばいい』,『效仿她们，\n把合宿时的刺激当做养分，追求更高吧』
3018018010340,智代子,『それです！』,『就是这样！』
3018018010350,夏葉,『うふふ\n……となると────』,『呵呵\n……那就────』
3018018010351,智代子＆夏葉,『ストレイライトの研究会がしたいわね……！』,『我们要举办Straylight研究会……！』
3018018010352,果穂＆智代子＆夏葉,……！,……！
3018018010360,樹里,『ああ！　アタシも賛成』,『啊！我也赞成』
3018018010370,凛世,『同じく……』,『我也是……』
3018018010380,凛世,『合宿に引き続き……\n学ばせていただきましょう……』,『继合宿之后……\n继续向她们学习吧……』
3018018010390,智代子,『おっけー！　果穂はどう？』,『好！果穂你觉得呢？』
3018018010400,果穂,～～っはい……！,～～嗯……！
3018018010410,果穂,あたしも今日、おんなじこと考えてましたー！,我今天也在想同样的事！
3018018010420,果穂,みんなで一緒に\nストレイライトの研究、したいです！,大家一起\n做Straylight的研究吧！
3018018010421,一同,『──！』,『──！』
3018018010430,夏葉,『そうと決まれば予定と内容を決めないと……！』,『既然决定了，就得安排时间和内容……！』
3018018010440,凛世,『来週の……\nユニット練習のあとは……いかがでしょう……』,『下周……\n组合练习之后……怎么样……』
3018018010450,樹里,『お、それいいな！\n研究するなら、やっぱライブ映像見てーよな』,『哦，那不错！\n研究的话，还是得看现场录像』
3018018010460,智代子,『合宿の練習撮ったやつも貸し出せるって\nプロデューサーさん言ってたよ！』,『制作人说还能借到合宿时拍的练习录像哦！』
3018018010470,果穂,……！,……！
3018018010480,果穂,えへへっ,呵呵
info,produce_events/301801801.json,,
译者,gpt-4.1-mini,,
