id,name,text,trans
20000120010010,凛世,お疲れ様でございます……\nレッスン室の……鍵を……,辛苦了……\n练习室的……钥匙……
0000000000000,プロデューサー,ああ、返しに来てくれたのか。ありがとう\n遅くまでお疲れ様,哦，你来还了啊。谢谢你\n辛苦到这么晚
20000120010020,凛世,いえ……,不……
20000120010030,凛世,プロデューサーさま……\n本日も……残業を……？,制作人様……\n今日也……还在加班吗……
0000000000000,プロデューサー,ああ\nなかなか片付かなくてな……,嗯\n一直收不完……
20000120010040,凛世,…………,…………
20000120010050,凛世,近頃……残業続きだと……\nお聞きし……,近来……一直在加班……\n我听说了……
20000120010060,凛世,その……\nもし……よろしければ……,那个……\n如果……可以的话……
20000120010070,凛世,こちらを……,请收下这个……
0000000000000,プロデューサー,ん……？\nこれは────,嗯……？\n这是────
20000120010080,凛世,『匂い袋』でございます……,『香囊』……\n这是……
20000120010090,凛世,香料を……布袋に詰め……\n香りを……楽しんでいただく……,把香料……装进布袋里……\n用来享受……香气的东西……
0000000000000,プロデューサー,へぇ……\n本当だ、いい香りがする……,哦……\n真的，很香啊……
20000120010100,凛世,リラックス効果のある……\nラベンダーの……香りでございます……,是有放松效果的……\n薰衣草的……香味……
0000000000000,プロデューサー,うん──……嗅いでるだけで癒される気がするよ\nありがとな、凛世,嗯──……光是闻着就觉得治愈了\n谢谢你，凛世
20000120010110,凛世,匂い袋は……\n別名……『誰が袖』とも……,香囊也被称作……\n又名『谁的袖』……
0000000000000,プロデューサー,『誰が袖』か……\n洒落た呼び名もあるんだなぁ,『谁的袖』吗……\n还真是个有情调的名字
20000120010120,凛世,はい……\nある歌が……由来になっており……,是的……\n有一首歌……是由来……
20000120010130,凛世,『色よりも　香こそあはれと　思ほゆれ\n誰が袖ふれし　宿の梅ぞも』,『色よりも　香こそあはれと　思ほゆれ\n誰が袖ふれし　宿の梅ぞも』
20000120010140,凛世,『梅は……色より香りの方が……\n趣深く感じられる……』,『梅……比起颜色，香气更让人……\n觉得意味深长……』
20000120010150,凛世,『宿の梅に……一体誰の袖が触れ……\nこの移り香を……残したのでしょう……』,『旅店里的梅花……究竟是谁的袖子碰过……\n才留下了这股馀香呢……』
20000120010160,凛世,香りから……\n『誰が袖』を想像する……歌でございます……,这首歌是从香气联想到……\n『谁的袖』的想象而来的歌……
20000120010170,凛世,この歌の影響で……当時……\n匂い袋──『誰が袖』が流行したとか……,受这首歌的影响……当时……\n香囊──『谁的袖』曾一时流行……
0000000000000,プロデューサー,へぇ、知らなかったよ\n香りから、それを残した人を想像する、か────,嗯，我还真不知道\n从香味去想象留下它的人，啊────
0000000000000,プロデューサー,俺もするだろうな……,我大概也会那样想吧……
20000120010180,凛世,……？,……？
0000000000000,プロデューサー,あ、いや……この匂い袋を嗅ぐ度に、\nこの香りをくれた凛世のことを思い浮かべるだろうなって,啊，不，……每次闻到这个香囊的味道，\n我都会想起把这香味带来给我的凛世吧
20000120010190,凛世,プロデューサーさま…………,制作人様…………
20000120010200,凛世,はい……,是的……
20000120010210,凛世,思い浮かべて……くださいませ…………\n何度でも────……,请……想起我吧…………\n无论多少次────…
info,produce_events/2000012001.json,,
译者,gpt-5-mini,,
