id,name,text,trans
4001084080010,円香,タクシー、まだ捕まらないって,出租车，还没拦到啊。
4001084080020,雛菜,そうなんだ～,是这样呢～
4001084080030,小糸,このあたり、タクシーの数が多くないみたいだから……,这一带好像出租车不多……
4001084080040,透,待つのは？\nプロデューサー,要等吗？\n制作人
4001084080050,雛菜,ん～……,嗯～……
4001084080060,雛菜,時間かかるかも、って言ってた～,说可能要花点时间～
4001084080070,円香,……,……
4001084080080,円香,駅まで\nギリギリ歩ける距離だけど,到车站\n勉强可以走得到的距离。
4001084080090,透,じゃあ……,那……
4001084080100,円香,……誰か、代わりに地図見れる？\n電池切れそう,……谁可以帮忙看一下地图？\n快没电了。
4001084080110,雛菜,へ～\nバッテリー持ってないの～？,诶～\n你没带移动电源吗？
4001084080120,円香,持ってきてない\nあまり使わないと思ってたから,没带。\n以为不太会用到。
4001084080130,円香,────切れた\n後はよろしく,──已经关机了。\n接下来就拜托你们了。
4001084080140,小糸,じゃ、じゃあわたしが調べるね……！,那、那我来查吧……！
4001084080150,透,いいよ\nまっすぐでしょ、道,好啊。\n路应该很直吧。
4001084080160,円香,まあ,大概。
4001084080170,透,行こ,走吧。
4001084080180,小糸,なんか、知らない道を歩いてると\n小さい頃、迷子になった時のこと、思い出すな……,走在不熟悉的路上时\n总会想起小时候迷路的时候……
4001084080190,雛菜,そんなことあったっけ～,有过那样的事吗～
4001084080200,円香,遊んだ帰りに、いつもと違う道でも\n帰れるかもしれないとか言って,玩完回家的时候，说什么也许能从不同的路\n也能回去。
4001084080210,円香,歩き通して、結局迎えに来てもらったやつ,一路走到底，结果还是被接回去了。
4001084080220,小糸,それ……！,就是那个……！
4001084080230,透,あー\nあったわ,啊～\n有这回事。
4001084080240,透,怒られた、あの時\nめっちゃ,当时被骂惨了。\n超惨。
4001084080250,雛菜,なんかスーパー着いて……そこで待ってる間\nお菓子食べてたのは覚えてるかも～,好像到了超市……在那里等着的时候\n记得吃了点零食～
4001084080260,透,ふふ、そうだっけ,呵呵，是吗。
4001084080270,円香,途中、帰れそうな道はあったのに\n浅倉が行きたい道ばかり選ぶから,途中其实有可以回去的路，\n但浅仓一直选她想走的路。
4001084080280,透,でも、ついてきてくれたじゃん,不过，最后还是跟来了嘛。
4001084080290,円香,……今、どの辺？,……现在走到哪里了？
4001084080300,小糸,えっと……調べてみるね……！,呃……让我查一下……！
4001084080310,小糸,ぴゃ……！\n雨──？,哇……！\n下雨了──？
4001084080320,雛菜,……～！！！,……～！！！
4001084080330,透,やば,糟了。
4001084080340,円香,いや聞いてない……\nどっか、近くに入れそうな屋根とか……,我没听到天气预报……\n附近有没有什么可以避雨的地方……
4001084080350,小糸,わ、わたし傘……持ってるよ……！\nちょっと待っててね……！,我、我带伞了……！\n请稍等一下……！
4001084080360,小糸,ご、ごめんね……\n傘、小さくて……！,对、对不起……\n伞有点小……！
4001084080370,円香,問題ない,没问题。
4001084080380,雛菜,ね、何も見えないよ～？,嗯，什么都看不见呀～？
4001084080390,透,じゃあ、走る？,那，跑起来？
4001084080400,小糸,こ、このまま……！？,就、就这样……！？
4001084080410,円香,小糸号、発進,小糸号，出发。
4001084080420,小糸,～～～！,～～～！
4001084080421,透＆雛菜,あははっ,哈哈哈。
4001084080430,円香,とりあえず屋根が見えたから入ったけど\nここどこ？,先看到有屋顶就进来了，不过这里是哪里？
4001084080440,雛菜,雨で何も見えない～,雨太大了，什么都看不清～
4001084080450,透,ふふ、遭難した,呵呵，迷路了呢。
4001084080460,小糸,で、でも……\nちょうどバス停に来れたから、よかったよね……！,不、不过……\n刚好来到车站了，还算好吧……！
4001084080470,雛菜,ちゃんと駅まで行くみたいだね～,好像会一直送到车站呢～
4001084080480,雛菜,次のバスまであと30分あるけど,距离下一班车还有30分钟哦。
4001084080490,円香,雨宿りできて、待ってれば駅にも行けるんなら\n悪くないんじゃない,能避雨，等车的话也能到车站，还不错吧。
4001084080500,透,……あ,……啊
4001084080510,透,連絡きてた\nプロデューサーから,收到一条消息\n是制作人发来的。
4001084080520,透,もう駅着いたかって,问我们是不是已经到车站了。
4001084080521,一同,…………,…………
4001084080530,透,……えっと,……那个
4001084080540,透,『今、バス停にいます』,『我们现在在公交站。』
4001084080550,雛菜,ライブ終わっちゃったね～,演唱会已经结束啦～
4001084080560,小糸,……う、うん\nあっという間だったね,……嗯，对啊。\n时间过得真快。
4001084080570,雛菜,ね～,对呀～
4001084080580,雛菜,万華鏡みたいなステージでライブするの\nすっごく楽しかった～！,在像万花筒一样的舞台上表演\n真的超级开心呢！
4001084080590,雛菜,雨降るの、今でよかったかも～,现在下雨，还挺好的～
4001084080600,透,んー\nナイスタイミング,嗯～\n时机不错。
4001084080610,円香,せめてもう少し後に降ってくれたら\nもっと助かったけど,如果再晚一点下就好了，\n那样会更方便些。
4001084080620,小糸,た、確かに……！,确、确实……！
4001084080630,円香,……,……
4001084080640,off,あの瞬間,那一刻
4001084080650,off,願いに触れた気がした,感觉触碰到了愿望
4001084080660,off,ほんの少し、指先が触れたような心地だったけれど,就像指尖轻轻擦过一样，虽然很短暂
4001084080670,off,……それだけで充分だった,……但那已经足够了
4001084080680,透,あ、きた,啊，车来了。
4001084080690,小糸,と、透ちゃん待って……！,等、透，等等我……！
4001084080700,雛菜,小糸ちゃん、雛菜も入れて～,小糸，带上我～
4001084080710,小糸,うん……！,好……！
4001084080720,off,本当に乗る？\nあの車に,真的要上那辆车吗？
4001084080730,off,他の選択肢を選ぶなら\nきっとこのタイミングしかない,如果想选其他选项的话\n这可能是最后的机会了。
4001084080740,off,私は帰り道を知っていた,我知道回家的路。
4001084080750,off,浅倉はいつも\n帰り道を選ばなかった,浅仓却总是选择\n不走回头路。
4001084080760,透,樋口ー,樋口——
4001084080770,透,傘、いるー？,需要伞吗？
4001084080780,off,終わりにしよう,该结束了。
4001084080790,off,もう,已经
4001084080800,円香,透,透
4001084080810,off,遠ざける必要なんてない,没必要逃避。
4001084080820,円香,傘、そこで差しといて,把伞撑在那里吧。
4001084080830,off,逆巻く衝動に従え,顺从内心的冲动。
info,game_event_communications/400108408.json,,
译者,qwen-max-0125,,
