id,name,text,trans
4902100030010,果穂,だがし屋さんでおやつを買ってきたんですー！,我在零食店买了点心回来啦！
4902100030020,果穂,プロデューサーさん、一緒に食べませんか？\nわけっこしたいです！,制作人先生，要一起吃吗？\n我想和你分享！
4902100030030,果穂,えっと……\nカレーと、チーズと、焼肉と、かば焼き味ですっ！,那个……\n有咖喱味、芝士味、烤肉味和蒲烧味的！
4902100030040,智代子,今の私が──全力で、笑顔で、\n嘘のないアイドルでいられているのは,现在的我——能够全心全意地\n以真实的笑容作为偶像存在
4902100030050,智代子,私をプロデュースしてくれるのが、\nプロデューサーさんだったからだと思っています,都是因为我的制作人\n是您啊
4902100030060,智代子,改めて、お礼を言わせてください\n──ありがとうございます、プロデューサーさん！,请允许我再次道谢\n——谢谢您，制作人先生！
4902100030070,樹里,たくさんの思い出が今のアタシに繋がってる,无数回忆串联成现在的我
4902100030080,樹里,そう思わせてくれたのは\nプロデューサーのおかげなんだ,能让我这么想的\n都是托制作人的福
4902100030090,樹里,だからこれからも……\n一緒に進んでいこうな！,所以今后也……\n一起前进吧！
4902100030100,凛世,こんなにも……凛世を見てくださり……\nそばにいてくださり……,您竟然如此……注视着凛世……\n陪伴在凛世身边……
4902100030110,凛世,ありがとうございます……\nプロデューサーさま……,非常感谢您……\n制作人大人……
4902100030120,凛世,これからも……\n共に……歩ませてくださいませ……,今后也请……\n允许我……与您同行……
4902100030130,夏葉,アナタとならどこまでも行けるって思っていたんだけど……,原本觉得和你的话哪里都能到达……
4902100030140,夏葉,それだけじゃ足りないんじゃないかって、\n最近気づいたのよ,但最近意识到\n这样可能还不够呢
4902100030150,夏葉,──私、アナタとならどこまでだって行きたいの\nこれでようやく過不足なしだわ！,——我想和你去往更远的地方\n这样才算是完美无缺！
info,special_communications/490210003.json,,
译者,deepseek-chat,,
