id,name,text,trans
2022013040010,小糸,…………！,…………！
0000000000000,プロデューサー,これはなかなか……実際に見ると\n建物は大きいし庭も広いし……すごいな,这还真是...实际看到才发现\n建筑这么大庭院这么宽敞...太厉害了
2022013040020,小糸,玄関まで植物のアーチがある家って\nあんまり見ないですもんね……,门口有植物拱门的房子\n确实很少见呢...
0000000000000,プロデューサー,撮影の準備が終わるまで散策していいとは言われたけど\nこう広いとどこから行くか迷うな,虽说可以趁拍摄准备期间四处逛逛\n但面积这么大反而不知道从哪开始看了
0000000000000,プロデューサー,小糸は行きたいところあるか？,小糸有想去的地方吗？
2022013040030,小糸,え、えっと……\nそれじゃあ――……,啊，那个...\n那不如——
2022013040040,小糸,（ここは、家主さんのご家族のお気に入りの場所……\nお日様が一番気持ちよく入ってくるって言ってた）,（这里是房主家人最喜欢的地方...\n说这里的阳光最让人心情舒畅）
2022013040050,小糸,（ここからはお庭に出れて……\nテラスでお茶をしたり、お子さんとピクニックをして……）,（从这里可以通往庭院...\n在露台喝茶，和孩子们野餐...）
2022013040060,小糸,（あちこちに置いてある小物は、\nここに来た人たちが集めて持ってきたもの……）,（各处摆放的小物件\n都是来访者们收集带来的...）
2022013040070,小糸,（だからちょっと、傾向がバラバラって……\n……あ、小さい子のおもちゃも混ざってる）,（所以风格有点杂乱...\n...啊，还混着小孩子的玩具）
2022013040080,小糸,（……ここは……壁の色がちょっと違う……\n自分で塗りなおしたって言ってたところかな？）,（...这里的墙面颜色不太一样...\n应该是房主说亲自重新粉刷过的地方吧？）
0000000000000,プロデューサー,いやぁ、ちょっとした散歩になったなぁ……\n気持ちよかった,哎呀，真是场不错的散步呢...\n很舒服
0000000000000,プロデューサー,……なんていうか、こうして回ってるだけでも、\n家主さんたちの思い出を感じるな,...怎么说呢，光是这么转一圈\n就能感受到房主一家的生活痕迹
2022013040090,小糸,はい……,是的...
0000000000000,プロデューサー,……小糸はさ、家主さんに話を聞いて、\n実際にこの場所を見てみて、どう感じた？,...小糸啊，听完房主的介绍\n实际看过这个地方后有什么感想？
2022013040100,小糸,……えっと,...那个
2022013040110,小糸,外観も内装も、歴史がありそうな洋館って感じなのに\nところどころ新品みたいだったり……,外观和内饰都像是有年代感的洋房\n但某些地方又像全新的一样...
2022013040120,小糸,アンティークの中に、新しいおもちゃや\n不思議な置物が混ざってたりして……,古董家具里混着新玩具\n和奇特的装饰品...
2022013040130,小糸,それだけ見たら、\nすこしちぐはぐかもしれないけど,单看这些的话\n可能会觉得有些不协调
2022013040140,小糸,でも……,但是...
2022013040150,小糸,それって、家主さんとそのご家族や、お友達が\nここで一緒に過ごしてた証明、みたいな……,这正证明了房主和家人朋友们\n在这里共同生活的痕迹...
2022013040160,小糸,古いのも新しいのも、それぞれの好きも\nごちゃまぜだから素敵に感じるんだなって……思います,古老的和崭新的，各自喜欢的东西\n混杂在一起反而觉得很美好...我是这么想的
0000000000000,プロデューサー,……うん、そうだな,...嗯，说得对
0000000000000,スタッフ,あ、ちょうどよかった\n撮影の準備できましたー！,啊正好\n拍摄准备完成啦！
0000000000000,スタッフ,日があるうちに、バルコニーからお願いします！,趁天还亮着请先去阳台那边！
0000000000000,プロデューサー,それじゃあ\n行こうか、小糸,那我们就\n过去吧，小糸
2022013040170,小糸,はい……！,好的...！
0000000000000,スタッフ,最初の写真は外から撮るので\nそこの窓からバルコニーに出てもらえたら,第一组照片从外面拍\n请从那扇窗出去到阳台
0000000000000,スタッフ,では、映りのテストを行いますので\n一旦窓付近で自由に動いてみてください,现在测试取景效果\n请先在窗边自由活动
2022013040180,小糸,は、はい……！,好、好的...！
2022013040190,小糸,……！,...！
2022013040200,小糸,（びっくりした……）,（吓一跳...）
2022013040210,小糸,（こんな近くに鳥……\nそれに全然、逃げない……？）,（这么近的距离有鸟...\n而且完全不怕人...？）
2022013040220,小糸,（もしかして、元からここの庭に住んでるのかな\n家主さんたちと、一緒に……）,（说不定原本就住在这个院子里\n和房主他们一起...）
2022013040230,小糸,（だとしたら、この子たちにとっても、ここは――）,（如果这样的话，对它们来说这里也是——）
2022013040240,小糸,お家、なのかな――……,是家吧——
2022013040250,小糸,声、かけても逃げないんだ……\n本当に慣れてるんだね,就算出声也不飞走...\n真的完全习惯了呢
2022013040260,小糸,……あの、今日来たばっかりのわたしが言うのは\nちょっと変かも、だけど……,...那个，我这个刚来的人说这种话\n可能有点奇怪...
2022013040270,小糸,みんなにとっても、ここがお家なら――,如果对大家来说这里也是家的话——
2022013040280,小糸,お、おかえりなさい……！,欢、欢迎回家...！
info,produce_events/202201304.json,,
译者,deepseek-chat,,
