id,name,text,trans
0000000000000,司会,────いやあ、SNSでバズってるだけはあるねー！\nどうだったー、七草ちゃん！,────哎呀，不愧是社交媒体上爆火的话题呢！\n七草小姐觉得怎么样？
4001085070010,にちか,面白かったですけど、まだ判断はつきかねるっていうか\n長尺のネタ、見てからですかねー,虽然挺有趣的，但还不好下定论呢\n得看完完整段子才能判断吧～
0000000000000,新人お笑い１,ちょっと、手厳しすぎませんー？\nうちら、今日テレビ出んの初なんすよー！,喂喂，这评价是不是太严厉啦～\n我们今天可是第一次上电视啊！
4001085070020,にちか,えー、そういう忖度どうなんですかねー\nあとは世間が決めると思いますー,诶～这种人情世故真的好吗～\n剩下的就交给观众评判吧～
0000000000000,新人お笑い２,厳しい、厳しすぎる……！\nでも貴重なご意見、あざまーすっ！,好严格、太严格了……！\n不过感谢宝贵意见，多谢指教！
0000000000000,司会,さてお次にネタを披露していただくのは……\n先日コンビ解散を発表いたしました、こちらのおふたり！,接下来要表演的是……\n日前宣布解散组合的这两位！
0000000000000,司会,テレビ出演は今夜が最後、ということで……\n渾身のネタを披露していただきましょう！　どうぞー！,今晚是最后电视演出了……\n请带来倾注全力的段子吧！有请！
0000000000000,漫才師たち,どうもー、『────』でーす！,大家好～我们是『────』！
4001085070030,off,この人たちも終わっちゃうんだな,这些人也要结束了啊
0000000000000,お笑い,────思ってることとか\n見てる方向が変わっちまったみたい,────想法什么的\n好像看待事物的角度都变了
0000000000000,プロデューサー,……ふたりの視線を交わしてみないか？,……要不要试着交换下彼此的视线？
4001085070040,off,わからない,不明白
4001085070050,off,同じだって確かめられて……,明明确认过想法一致……
4001085070060,off,普通に、それだけで────,光是这点就足够────
4001085070070,にちか,……,……
0000000000000,漫才師１,────いやいや、だから……\nこんなコンビニ店員はいやだ！　はいどんなコンビニ店員？,"────不对不对，所以说……\n""我才不要这种便利店店员！来猜猜是什么店员？"""
0000000000000,漫才師２,うーん、ちゃんと顔覚えてくれて、\n俺の好きなホットスナック、常備してくれてるとか？,嗯～会记住我的脸，\n还常备着我喜欢的热食那种？
0000000000000,漫才師１,だからそれは、めっちゃ素敵な店員さんなのよ\n認知サンキュー！　じゃないのよ,"所以说那是超棒的店员啊\n又不是在拍""感谢认知""广告"
4001085070080,にちか,ははは……,哈哈哈……
4001085070090,off,やば\n今の声、浮いた,糟了\n刚才的笑声好突兀
4001085070100,off,笑わなきゃ\n笑ってあげなきゃ,必须笑出来\n得配合着笑才行
