id,name,text,trans
0000000000000,ウォーキングの先生,いち、に、いち、に,一、二、一、二
2014020040010,甘奈,…………,…………
0000000000000,ウォーキングの先生,いいわよ\nそのまま集中を切らさず……,很好\n继续保持专注不要松懈......
2014020040020,甘奈,…………,…………
0000000000000,ウォーキングの先生,……はい！\nそこまで！,......停！\n到此为止！
2014020040030,甘奈,……はー……,......哈啊......
0000000000000,ウォーキングの先生,お疲れ様\n今のはだいぶ、いい感じだったと思うわよ,辛苦了\n我觉得刚才的状态相当不错哦
2014020040040,甘奈,……ありがとうございます,......谢谢您
2014020040050,甘奈,……でも、もう少しだけお願いしても\nいいでしょうか？,......不过可以再稍微\n陪我练习一会儿吗？
0000000000000,ウォーキングの先生,……どうして？,......为什么？
2014020040060,甘奈,確かに、今のは余裕を持って\n歩けていたと思います,确实，刚才的步伐\n我觉得已经游刃有余了
2014020040070,甘奈,でも『魅力ある大人の余裕』\nには、まだ遠いと思うんです！,"但距离""充满魅力的大人风范""\n还差得远呢！"
0000000000000,ウォーキングの先生,……,......
2014020040080,甘奈,ですから、お時間ギリギリまで\n見ていただけないでしょうか！,所以拜托您指导到\n最后一分钟可以吗！
0000000000000,ウォーキングの先生,……ふふっ\n良い意気ね、そういうの好きよ,......呵呵\n很有干劲嘛，我就喜欢这样的
0000000000000,ウォーキングの先生,じゃあ、更に厳しくいくわね！,那么接下来会更严格哦！
2014020040090,甘奈,はい！　お願いします！,是！拜托了！
2014020040100,甘奈,もっと,还要更多
2014020040110,甘奈,…………,…………
0000000000000,表現の先生,口角は、そこまで上げない方がいいと思うわ\n『自分が主役』という気持ちは表情に出しちゃダメ,"嘴角不需要抬那么高\n""自己是主角""的想法不能表现在脸上"
2014020040120,甘奈,……！\nそうですね、ありがとうございます！,......！\n您说得对，谢谢指导！
2014020040130,甘奈,でしたら\n目ももう少し鋭くした方がいいでしょうか？,那这样的话\n眼神是不是也该再锐利些？
0000000000000,表現の先生,そうね、それでやってみましょう,嗯，就那样试试看吧
2014020040140,甘奈,わかりました！,明白了！
2014020040150,甘奈,もっともっと,还要更多
2014020040160,甘奈,高めるの、自分を……！,继续提升自己......！
2014020040170,甘奈,プロデューサーさん\nひとつお願いしてもいいかな？,制作人先生\n可以拜托你一件事吗？
0000000000000,プロデューサー,……うん？,......嗯？
2014020040180,甘奈,撮影までのレッスンなんだけど……\n全部、甘奈ひとりで受けさせてほしいの,关于拍摄前的训练......\n我想全部由我一个人完成
2014020040190,甘奈,プロデューサーさんに意見をもらわずに\n魅力的だと思える自分を、作ってみたいから,因为我想不依靠制作人的建议\n塑造出自己认为最有魅力的形象
0000000000000,プロデューサー,……！,......！
2014020040200,甘奈,……ダメかな？,......不行吗？
0000000000000,プロデューサー,……そんなわけないさ,......怎么会
0000000000000,プロデューサー,……期待してるよ、最高の甘奈を,......我期待着看到最棒的甘奈
2014020040210,甘奈,……ありがと！,......谢谢！
2014020040220,甘奈,限界まで！,突破极限！
2014020040230,甘奈,（今日の主役は、甘奈）,（今天的主角是甘奈）
2014020040240,甘奈,（この場にいる人全てを）,（要让在场的所有人）
2014020040250,甘奈,（虜にしてみせる）,（都为我着迷）
0000000000000,プロデューサー,お疲れ様、甘奈,辛苦了，甘奈
2014020040260,甘奈,うん、お疲れ様,嗯，辛苦了
0000000000000,プロデューサー,今日の『世界の主役』は\n甘奈だって、思わされた,"今天的你让我真切感受到\n什么叫""世界的主角"""
0000000000000,プロデューサー,本当に素敵だったよ,真的非常出色
2014020040270,甘奈,……！,......！
2014020040280,甘奈,……ふふっ、ありがと,......呵呵，谢谢
info,produce_events/201402004.json,,
译者,deepseek-chat,,
