id,name,text,trans
0000000000000,プロデューサー,雛菜、これホワイトデーのプレゼントだ\n受け取ってくれると嬉しい,"雏菜，这是白色情人节的礼物\n如果你能收下，我会很高兴  "
4901900460010,雛菜,あは～\nありがとうございます～,"啊哈～\n太感谢了～  "
4901900460020,雛菜,……この飴ってダイヤモンドなのかな～,"……这个糖果是钻石做的吗～  "
0000000000000,プロデューサー,バレンタインの時、宝石のチョコレートもらっただろ？\nだから、それに目を引かれてさ,"情人节那会儿，你不是收到过宝石巧克力吗？\n所以才被吸引住了  "
4901900460030,雛菜,すっごくきらきらしてるね～,"闪闪发光呢～  "
0000000000000,プロデューサー,うん、ずっと見てても飽きないぐらいだ,"嗯，看再久都不会厌烦的程度  "
4901900460040,雛菜,いつかは食べちゃうけどね,"总有一天会吃掉的啦  "
0000000000000,プロデューサー,そうだな\nちょっともったいない気もするけどな,"是啊\n不过又觉得有点可惜呢  "
4901900460050,雛菜,きらきらな宝石……\nいつ食べようかな～,闪闪发光的宝石……\n什么时候吃才好呢～
info,special_communications/490190046.json,,
译者,o3-mini,,
