id,name,text,trans
2012021010010,凛世,────……,────……
2012021010020,凛世,『バレンタインは想いを形にするチャンス』……,『情人节是把心意变为形状的机会』……
0000000000000,高校生１,てかやばい、なんにも考えてないんだけど\nうち、お父さんにあげないとなんだよねー,话说太糟了，我啥都没想好\n我家还得送给爸爸呢
0000000000000,高校生２,うちもー。てか妹、手作りするとか言ってんだけど\nやばくない？,我也是～而且我妹竟然说要自己做礼物\n是不是太夸张了？
0000000000000,高校生１,え、やばー！\nお父さんに？,哎，糟了！\n给爸爸吗？
0000000000000,高校生２,あははっ！　じゃなくて、いるんだってー\nクラスに好きな子ー,哈哈！不是啦，听说班上有我喜欢的人呢——
0000000000000,高校生１,あー、そっちかー\n手作りとかガチじゃん,啊，原来如此\n亲手做礼物可是很认真呢
0000000000000,高校生２,てかもりちゃんは？\n事務所の人ー？,话说，もりちゃん呢？\n是事务所里的人吗？
2012021010030,凛世,はい……\nお世話になっている……お方に……,是的……\n那位一直照顾我的……人……
0000000000000,高校生２,もりちゃんも手作りするとか言ったりしてー,もりちゃん也说要自己做礼物之类的——
2012021010040,凛世,まだ……そこまでは……\nですが……,还……没有做到那一步……\n不过……
2012021010050,凛世,ガチの手作りの……よさもまた……\nあることでしょう……,纯手工制作的……魅力也是……\n别有一番风味的呢……
0000000000000,高校生２,えーでもさ、手作りとか重いって言わない？\nあたし、どーしよー,哎——不过，说手工做礼物是不是太沉重了？\n我该怎么办啊
0000000000000,高校生１,本命いるじゃん、アピれアピれー\n重いくらいじゃないと気付かないって,你不是已经有心仪的人了吗？赶快告白赶快告白——\n只有稍微沉重点，对方才会注意到的
0000000000000,高校生２,それなー\n超鈍感だからなー、あの男子,对啊\n那男生真是超级迟钝
0000000000000,高校生１,鈍感男子って超やばいよね\nアピっても超気付かないもん,迟钝的男生真的太可怕了\n就算告白了也完全不会察觉
2012021010060,凛世,はい……\nやばいです……,是的……\n真是糟糕……
2012021010070,凛世,想いは……,心意是……
2012021010080,凛世,見えるようで……\n見えない……,好像能看见……\n却又看不见……
2012021010090,凛世,『想いを形にするならやっぱりハート型』……──,『如果要把心意具现化，果然还是爱心形』……──
2012021010100,凛世,ハート────……,爱心────……
2012021010110,凛世,────見えたら……よいのに……,────要是能看见就好了……
0000000000000,プロデューサー,顔合わせ、楽しかったな\nみんないい人たちでさ,见面会真开心\n大家都很不错呢
2012021010120,凛世,はい……\n気さくに……接していただき……,是的……\n受到了那么亲切的接待……
0000000000000,プロデューサー,単発だけど、話題の原作のドラマ化だ\n頑張ろうな,虽然只是单集出演，但这是热议原作改编的电视剧\n大家一起加油吧
2012021010130,凛世,はい……,是的……
2012021010140,凛世,────……,────……
2012021010150,凛世,あの……\nプロデューサーさま……,那个……\nプロデューサー大人……
2012021010160,凛世,ドラマが完成するのは……\nちょうど……２月半ば頃と……,电视剧完成的话……\n大概是在二月中旬左右……
0000000000000,プロデューサー,ああ、そのくらいだよ,啊，差不多就是那个时候
2012021010170,凛世,────それは……,────那个……
2012021010180,凛世,バレンタイン……くらいでしょうか……,情人节……差不多吧……
0000000000000,プロデューサー,ああ……そういえばそうだな\nもうそんな時期になるのか……,啊……说起来确实如此\n转眼间就到了那个时候……
2012021010190,凛世,……\nはい……,……\n是的……
2012021010200,凛世,見えぬゆえ……\n知りたい……,正因为看不见……\n所以想知道……
2012021010210,凛世,貴方さまの……\nハート…………,您的……\n心…………
2012021010220,凛世,プロデューサーさま……\nその────……,制片人大人……\n那个────……
2012021010230,凛世,凛世から……お贈りさせて……\nいただくのは……,由凛世这边……向您赠送的……\n是收下这个……
2012021010240,凛世,ご迷惑では……ないでしょうか……,这样会不会给您添麻烦……
0000000000000,プロデューサー,おっ、凛世\nバレンタイン、俺にくれるのか？,哦，凛世\n情人节的礼物要给我吗？
2012021010250,凛世,……！,……！
2012021010260,凛世,は、はい……,是、是的……
0000000000000,プロデューサー,そうか、ありがとう\n迷惑なんかじゃないし、むしろ嬉しいよ,这样啊，谢谢\n一点也不麻烦，反而让我很高兴
0000000000000,プロデューサー,楽しみにしてるな,我很期待哦
2012021010270,凛世,……！,……！
2012021010280,凛世,プロデューサーさま……！,制片人大人……！
2012021010290,凛世,はい……\nお気に召していただけるよう……精進を……,是的……\n为了能让您喜欢……我会努力……
select,,ちょっとしたもので\n大丈夫だよ,只是些小东西\n没关系的
select,,何を\nもらえるのかな……,会收到什么呢……
select,,あまり無理しなくて\nいいからな,别太勉强自己了哦
0000000000000,プロデューサー,こういうのはさ、気持ちだけでも嬉しいものだから,这种东西，光是心意也已让我非常开心了
2012021010300,凛世,はい……\nですが────……,是的……\n不过────……
2012021010310,凛世,凛世の……想いを……,凛世的……情感……
2012021010320,凛世,見えぬ……想いを……,那看不见的……情意……
2012021010330,凛世,形にしたく……,想让它……变得具体……
0000000000000,プロデューサー,────形……？,────具体吗……？
2012021010340,凛世,い、いえ……\nなんでも……ございません……,不、不……\n没什么……的
2012021010350,凛世,必ず……よきものを……\nプロデューサーさまに……,一定会……送上最好的东西给……\n制片人大人……
2012021010360,凛世,それは……当日までの……\nお楽しみに……,那个……就留到当天……\n敬请期待……
