id,name,text,trans
4001085080010,にちか,……,……
4001085080020,にちか,この音──,这个声音──
4001085080030,にちか,…………,…………
4001085080040,off,美琴さん、笑ってる\n……音を楽しんでる,美琴小姐在微笑\n……正享受着音乐
4001085080050,off,……やっぱり、少し似てる,……果然，有几分相似呢
4001085080060,にちか,美琴さんからは、どう見えたのかな？,在美琴小姐眼里，我是什么样子呢？
0000000000000,女の子,わーっ……！,哇啊……！
0000000000000,母親,すごい……\n素敵な演奏でした,太棒了……\n真是精彩的演奏
4001085080070,美琴,ありがとうございます,谢谢大家
4001085080080,美琴,……あ,……啊
4001085080090,にちか,……,……
4001085080100,美琴,こんにちは,你好
4001085080110,にちか,あ……お疲れ様です,啊……辛苦了
0000000000000,女の子,……？,……？
0000000000000,女の子,おねえちゃん\nピアノのおねえさんとおともだち？,姐姐\n你和弹钢琴的姐姐是朋友吗？
4001085080120,にちか,あ、えっと──,啊，那个──
4001085080130,美琴,ううん、違うよ,不是哦
4001085080140,にちか,……,……
0000000000000,女の子,じゃあ、なーに？,那是什么关系呀？
4001085080150,美琴,この人は────,这位是────
0000000000000,構成作家,──今、ご確認いただいたのが、\n歌唱パートとインタビューパートになります,──刚才确认的是\n演唱部分和采访部分
0000000000000,構成作家,……しっかり編集して\n最高のものをお届けできるようにします,……我们会精心剪辑\n呈现最完美的作品
0000000000000,プロデューサー,はい、よろしくお願いいたします……！,好的，拜托您了……！
0000000000000,構成作家,それで……あの──,关于那个……呃──
0000000000000,構成作家,以前、ふたりの未来を示唆できるような……\nそんな締め方にしたいとご提案したんですが,之前提议过用暗示两人未来的方式\n作为结尾部分
0000000000000,構成作家,無理にガワの部分でそんなことしなくてもいいかなって、\n思っていまして,但现在觉得不必刻意在形式上\n强求这种效果
0000000000000,プロデューサー,はい……,明白了……
0000000000000,構成作家,なんていうんだろうな……,该怎么说呢……
0000000000000,構成作家,大きなハコで毎年ツアーをやるとか、\n何十年先も活動を続けていくとか──,比如每年举办大型巡演\n或者持续活动几十年之类的──
0000000000000,構成作家,言葉にしてもらった方が、\nわかりやすくて安心できて、喜んでもらえる,直接说出来反而更直白易懂\n能让观众安心又开心
0000000000000,構成作家,でも、そういった明確な目標を飛び越えたところに\nふたりはいるのかもしれないなって、今は考えていて──,但她们或许已经超越了\n这种明确的目标范畴
0000000000000,プロデューサー,ふたりの描き方を真剣に考えてくださって\nありがとうございます,非常感谢您如此认真\n思考如何呈现她们
0000000000000,プロデューサー,考えるきっかけを与えてくださったこと、\n心から感謝しています,您给了我们思考的契机\n由衷感激
0000000000000,プロデューサー,ふたりの視線は、未来は……,她们的目光与未来……
select,,きっと\n交わっていきます,必定\n会交汇
0000000000000,プロデューサー,これからのことは、誰にもわからない,未来的事谁都无法预知
0000000000000,プロデューサー,それはきっと、すべてのことに言えることだ,这其实适用于世间万物
0000000000000,プロデューサー,だからこそ……\nひとつひとつを確かめて、立ち止まって,正因如此……\n才要步步确认 时而驻足
0000000000000,プロデューサー,──進んでも進まなくてもいい,──前进或停留都无妨
0000000000000,プロデューサー,それが、今の……シーズなんだ,这就是现在的……SHHis
0000000000000,構成作家,──それでは、次が最後の質問になります,──接下来是最后一个问题
0000000000000,構成作家,シーズの未来を、おふたりはどうお考えですか？,对于SHHis的未来，两位有何看法？
4001085080160,にちか,…………,…………
4001085080170,美琴,答えるね,我来回答吧
4001085080180,にちか,──あ、はい……,──啊，好的……
4001085080190,美琴,明確な答えはわかりません,没有明确的答案
4001085080200,美琴,これからもステージで立っていられるよう、\n最善を尽くすだけです,我们只会竭尽全力\n继续站在舞台上
4001085080210,美琴,シーズとして,作为SHHis
4001085080220,にちか,…………,…………
4001085080230,美琴,あっていた？,对吗？
4001085080240,off,──私が映ってる\n綺麗な……目に,──映在我眼中的\n那双美丽的眼睛
4001085080250,にちか,……はい,……嗯
4001085080260,にちか,私も……\n立っていられるように……やる、だけです,我也……\n只想努力站稳脚跟……
4001085080270,にちか,…………,…………
4001085080280,にちか,アイドル、なので,因为我是偶像啊
4001085080290,美琴,うん,嗯
4001085080300,にちか,…………,…………
info,game_event_communications/400108508.json,,
译者,deepseek-chat,,
