id,name,text,trans
0000000000000,撮影スタッフ,────はいっ、ふたりともすごくいい感じでーす！,────好啦，两位看起来状态都超好的！
0000000000000,撮影スタッフ,すみませんっ\nちょっとセット変えたいので、30分ほどいただきますー,不好意思\n要稍微更换一下场景，大概要耽搁30分钟哦
3023012020001,小糸＆雛菜,は、はい……！,是，是的……！
3023012020010,小糸,さ、撮影いい感じだって……\nよかったね……！,拍摄进行得不错呢……\n真是太好了啊……！
3023012020020,雛菜,うん～、そうだね～,嗯～，确实呢～
3023012020030,小糸,30分って言ってたよね……\nこ、ここで宿題とか……してもいいのかな？,不是说是30分钟吗……\n我、我在这里做作业……可以吗？
3023012020040,雛菜,別にいいんじゃない～,没关系的～
3023012020050,小糸,じゃ、じゃあ――,那、那就——
3023012020060,小糸,……教科書と、ノート────\nあった,……教科书和笔记本────\n找到了
3023012020070,雛菜,…………,…………
3023012020080,小糸,…………,…………
3023012020090,雛菜,家庭科の宿題？\nそれ、雛菜もやったよ～,家政作业？\n那个雏菜也做过哦～
3023012020100,雛菜,提出したやつ、この前返ってきたけど,上次交上去的作业，这前刚退回来了
3023012020110,雛菜,『この家に住むなら大金持ちにならないと無理ですね』って\n言われちゃった～,老师写道『住在这房子里，如果不变成大富豪就不行呢』\n说了这话～
3023012020120,小糸,そうなんだ……,原来如此……
3023012020130,雛菜,でも、しょうがないよね～\n雛菜のお城だもん～！,不过，也没办法呢～\n毕竟是雏菜的城堡嘛～！
3023012020140,小糸,雛菜ちゃんの、お城……,雏菜酱的城堡……
3023012020150,小糸,…………,…………
3023012020160,小糸,じゃあ、たくさんお金貯めないとだね……！,那就得好好存钱了……！
3023012020170,雛菜,あは～、そうだね～,啊哈～，确实呢～
3023012020180,雛菜,小糸ちゃんはどんな家に住みたいの～？,小糸酱想住怎样的房子呢～？
3023012020190,小糸,わ、わたしは……,我、我……
3023012020200,小糸,まだ、わからなくて……\nそれに────,还不知道呢……\n而且────
3023012020210,小糸,ひとり暮らしとか、できるのかなって\n考えちゃって……,我总在想，一个人住的话\n能不能办得到……
3023012020220,小糸,でも………もし、できるなら\n自分用の机と大きいテーブル置きたいな……,不过……如果能住的话\n我想要一张属于自己的办公桌和一张大桌子……
3023012020230,雛菜,なんで～？,为什么呢～？
3023012020240,小糸,え、えっと……みんなでごはん食べたりとか……\nできたら、いいなって……,呃，那个……比如大家一起吃饭什么的……\n能那样就太好了……
3023012020250,雛菜,あは～\nじゃあ、たくさんお菓子が入る箱も欲しい～！,啊哈～\n那我也想要一个可以装满很多零食的箱子～！
3023012020260,雛菜,雛菜がその箱、いっぱいにする～,雏菜会把那个箱子装满的～
3023012020270,小糸,……う、うん！,……嗯，嗯！
3023012020280,小糸,なら、リビングはこれぐらいの広さにして……,那么，客厅最好就定在这个大小……
3023012020290,小糸,あ、キッチンも広い方がいいかな……,啊，厨房也要宽敞一些比较好……
3023012020300,雛菜,うん～\nその方がいいかも～！,嗯～\n那样可能会更好呢～！
3023012020310,小糸,……玄関も、もうちょっと広くして────,……门厅也，再宽敞点────
3023012020320,小糸,今日も、無事に終わってよかったね……！,今天也能顺利结束真是太好了……！
3023012020330,雛菜,うん～\n雛菜、お腹すいた～,嗯～\n雏菜肚子好饿～
3023012020340,小糸,じゃあ、コンビニ寄っていく……？,那，我们要去便利店吗……？
3023012020350,雛菜,ん～\nどうしようかな～……,嗯～\n该怎么办好呢～……
3023012020360,雛菜,あ……,啊……
3023012020370,小糸,ひ、雛菜ちゃん……,雏、雏菜酱……
3023012020380,雛菜,小糸ちゃんのお城、ここにある～？,小糸酱的城堡，就在这里吗～？
3023012020390,小糸,…………,…………
3023012020400,小糸,た、たくさんチラシ貼ってあるね,贴了好多传单呢
3023012020410,雛菜,不動産屋さんだからね～,因为是房产中介嘛～
3023012020420,小糸,…………,…………
3023012020430,雛菜,ありそう～？,看起来像有哦～？
3023012020440,小糸,…………\nあるかもしれない、けど……まだ────,…………\n可能有，不过……还没确定────
3023012020450,小糸,わからない、かな,可能还不知道呢
3023012020460,雛菜,ん～……\nそっか～,嗯～……\n是吗～
3023012020470,雛菜,そうだよね～,对呢～
3023012020480,小糸,えへへ……,嘻嘻……
3023012020490,小糸,でも、ちゃんと見つけられるといいな\n雛菜ちゃんみたいに,不过，希望能好好找到哦\n就像雏菜酱一样
3023012020500,雛菜,……あは～\n雛菜のお城、楽しみにしててね～,……啊哈～\n雏菜的城堡，敬请期待哦～
3023012020510,小糸,うん！,嗯！
info,produce_events/302301202.json,,
译者,o3-mini,,
