id,name,text,trans
0000000000000,スタッフ,────それでは、諸々の準備整いましたので\n回していきまーす,────那么，各项准备已经就绪\n我们开始吧～
0000000000000,スタッフ,市川さんも準備OKでしょうかー？,市川小姐也准备好了吗？
2023013010010,雛菜,はい～\n大丈夫です～,是的～\n没问题～
0000000000000,スタッフ,了解ですー！\nそれでは回しまーす。３、２……,了解！\n那么开始吧。3、2……
2023013010020,雛菜,みなさん、こんにちは～\nノクチルの市川雛菜です～,大家好～\n我是Noctchill的市川雛菜～
2023013010030,雛菜,今日はユアクマちゃんの雛祭りケーキを\nデコレーションしていきます～,今天我们要为Yuakuma酱的雏祭蛋糕\n进行装饰～
2023013010040,雛菜,すっごくかわいいケーキにするので、ちゃんと見ててね～,我会把它装饰得超级可爱，大家一定要好好看着哦～
0000000000000,スタッフ,はい、OKでーす！　ありがとうございます！\n材料のインサート撮りますんで、少々お待ちくださーい,好的，OK！谢谢！\n我们要拍摄材料的插入镜头，请稍等一下～
2023013010050,雛菜,はい～,好的～
2023013010060,雛菜,…………,…………
0000000000000,プロデューサー,雛菜、よかったら水飲むか？,雛菜，要不要喝点水？
2023013010070,雛菜,……ん～、今は大丈夫\nありがとうございます～,……嗯～，现在不用\n谢谢～
0000000000000,プロデューサー,……もしかして\n少し緊張してたりするか？,……是不是有点紧张？
2023013010080,雛菜,別にしてないけど……,也没有啦……
2023013010090,雛菜,雛菜が思うかわいいって、\nみんなのかわいいじゃないでしょ？,我觉得可爱的东西，\n和大家觉得可爱的可能不一样吧？
2023013010100,雛菜,だから……\nちょっとだけ、大丈夫かな～って思ってるのかも,所以……\n可能有点担心，不知道会不会让大家满意～
0000000000000,プロデューサー,そんなの大丈夫に決まってる\n雛菜が思う『可愛い』でいいんだ,那肯定没问题的\n你觉得可爱就够了
2023013010110,雛菜,あは～\nやっぱりそうだよね～,啊哈～\n果然是这样呢～
0000000000000,スタッフ,お待たせしましたー\n市川さん、スタンバイお願いしますー,久等了～\n市川小姐，请准备一下～
2023013010120,雛菜,はい～,好的～
2023013010130,雛菜,じゃあ、いってきます～,那我出发啦～
0000000000000,プロデューサー,ああ、いってらっしゃい,嗯，路上小心
2023013010140,雛菜,──イチゴ、オレンジ、メロン……\n雛あられにクッキー……マカロンもあります～,──草莓、橙子、蜜瓜……\n还有雏米花和饼干……还有马卡龙～
2023013010150,雛菜,あは～\nメレンゲドールのユアクマちゃんもかわいい～♡,啊哈～\n蛋白糖霜娃娃的Yuakuma酱也好可爱～♡
2023013010160,雛菜,ん～……どんなケーキにしようかな～,嗯～……要做什么样的蛋糕呢～
2023013010170,雛菜,（……お雛様とお内裏様のユアクマちゃんは\n絶対、乗せないといけないから……）,（……一定要把Yuakuma酱做成\n雏人偶和男雏人偶的样子……）
2023013010180,雛菜,（ちゃんとユアクマちゃんがかわいくなるように……）,（一定要让Yuakuma酱变得可爱……）
2023013010190,雛菜,……それでは最初に、\nユアクマちゃんをトッピングしていきます～,……那么首先，\n我们来装饰Yuakuma酱吧～
