id,name,text,trans
0000000000000,SNSの投稿,『大切なファンのみなさまへ』,『致亲爱的粉丝们』
0000000000000,SNSの投稿,『えっなになになになに！？』,『诶诶诶诶诶！？』
0000000000000,SNSの投稿,『あー』,『啊——』
0000000000000,SNSの投稿,『把握　見ないでもわかる』,『知道了，不看也能明白』
0000000000000,SNSの投稿,『さすがに慣れましたわ』,『果然已经习惯了呢』
0000000000000,SNSの投稿,『おっけ、覚悟決めたんで見てくる』,『好，鼓起勇气去看看了』
0000000000000,SNSの投稿,『今回は誰なんだろうね』,『这次会是谁呢』
0000000000000,SNSの投稿,『脱退』,『退出』
0000000000000,らむ,…………────,…………────
0000000000000,綿羊らむの投稿,『イシンデンシン・ろくはらの脱退につきまして』,『关于イシンデンシン・ろくはら的退出』
0000000000000,プロデューサー,お世話になっております\n先日はありがとうございました,承蒙关照\n前几天谢谢您了
0000000000000,プロデューサー,──はい\nお時間いただいており恐れ入ります,──是的\n打扰您宝贵时间了
0000000000000,プロデューサー,小宮へオファーいただいていた、\n子ども向け体験施設のCM出演、お受けできればと────,关于给小宫的邀请，\n儿童体验设施的广告出演，如果可以的话想接下──
0000000000000,プロデューサー,（改めまして、よろしくお願いいたします……っと）,（再次拜托了……）
0000000000000,プロデューサー,お,哦
2009020010010,果穂,おはようございまーす！,早上好——！
0000000000000,プロデューサー,お疲れ、果穂\nちょうどよかった,辛苦了，果穗\n正好找到你了
2009020010020,果穂,プロデューサーさん！,制作人！
2009020010030,果穂,何がちょうどいいんですか？,什么正好找我啊？
0000000000000,プロデューサー,話してたCM、お受けする連絡入れたんだ\n先方もぜひよろしくってさ,刚联系好了接那个广告的事\n对方也很期待，拜托了
0000000000000,プロデューサー,頑張ろうな,一起加油吧
2009020010040,果穂,──！,──！
2009020010050,果穂,ウエディングドレス……っ,婚纱……！
2009020010060,果穂,楽しみですー！,好期待啊——！
0000000000000,プロデューサー,はは、うん\nそうだな！,哈哈，嗯\n是啊！
0000000000000,プロデューサー,小学生の果穂がウエディングドレスかって\n聞いた時はびっくりしたけど,听说小学生的果穗要穿婚纱的时候\n我还吓了一跳
0000000000000,プロデューサー,体験してみるっていうのは大事だもんな,不过体验一下也是很重要的
2009020010070,果穂,はい！\nあたしもいつか本当に着るかもしれません！,是的！\n我说不定有一天真的会穿呢！
2009020010080,果穂,着ないかもしれないけど……っ,虽然也有可能不会穿……但——
0000000000000,プロデューサー,まぁ、こればっかりはな,嗯，这个确实没法说
0000000000000,プロデューサー,結婚も結婚式も、ひとりでできるものじゃないし……,结婚和婚礼，都不是一个人能完成的事情……
0000000000000,プロデューサー,──ひとりでできないっていえばさ,──说到一个人做不到的事
0000000000000,プロデューサー,体験施設、珍しいところだと\nアイドルも体験できるらしいぞ！,体验设施，有个特别的地方\n听说偶像也能体验哦！
2009020010090,果穂,そうなんですか！？,真的吗！？
2009020010100,果穂,あたしたちみたいに、アイドルの服を着て\n歌ったり踊ったりできるってこと……？,就是说像我们一样，穿偶像的服装\n唱歌跳舞什么的……？
0000000000000,プロデューサー,うん\nもらった資料を見てる限りは,嗯\n根据我拿到的资料来看
0000000000000,プロデューサー,音楽番組みたいなていで、スタジオで──とか\n野外ステージみたいなところがあって──とか,有点像音乐节目那样，在录音棚──还有像户外舞台那样的地方──
2009020010110,果穂,わぁ……！,哇……！
2009020010120,果穂,楽しそう……っ,好开心啊……！
0000000000000,プロデューサー,果穂、アイドルなのにアイドルやりたいんだな？,果穗，明明是偶像还想做偶像啊？
2009020010130,果穂,えへへっ\nだって、『期間限定アイドル』やれるから……！,嘿嘿\n因为能做“限时偶像”嘛……！
2009020010140,果穂,放クラじゃないあたし！　です！,不是放学后的我们！ 是我！
0000000000000,プロデューサー,なかなか想像つかないな……！,还真难想象呢……！
2009020010150,果穂,えへへっ\nプロデューサーさんは、何をやってみたいですか？,嘿嘿\n制作人你想试试什么呢？
select,,社長かな,是社长吗
select,,ヒーローかな,是英雄吗
select,,アイドルかな,是偶像吗
2009020010160,果穂,アイドル事務所の……？,偶像事务所的……？
0000000000000,プロデューサー,ははっ、そうだよな！\n果穂の中だと社長＝天井社長だよな,哈哈，是啊！\n在果穗心里社长=天井社长吧
0000000000000,プロデューサー,特にアイドル事務所のつもりはなかったんだけど、\nそれもありだなぁ,虽然我没特别想当偶像事务所社长，\n但也可以考虑这个选项啊
2009020010170,果穂,プロデューサーさんが社長さんなら、\nあれ言いますか！？,如果制作人是社长，\n会说那个台词吗！？
0000000000000,プロデューサー,『あれ』？,“那个”？
2009020010180,果穂,『私は甘くないぞ！』,“我可不甜哦！”
2009020010190,果穂,ヒーロー！！！,英雄！！！
2009020010200,果穂,どんなのがいいですか！？,想要什么样的？
0000000000000,プロデューサー,あははっ\nそうだなぁ……！,哈哈\n嗯……！
0000000000000,プロデューサー,やっぱり、レッドみたいに熱い感じに憧れるなぁ,果然还是很憧憬像红色那样热血的感觉啊
2009020010210,果穂,わー！\n見てみたいですー！,哇！\n想看看呢！
2009020010220,果穂,！？,！？
2009020010230,果穂,アイドル……っ,偶像……！
0000000000000,プロデューサー,おう\n果穂がアイドルやるなら、俺もアイドルがいいな,嗯\n果穗如果做偶像的话，我也想做偶像
0000000000000,プロデューサー,それで、『期間限定グループ』を組む！,然后，组个“限时组合”！
2009020010240,果穂,スッゴく楽しそうですー！,听起来超有趣的！
info,produce_events/200902001.json,,
译者,gpt-4.1-mini,,
