id,name,text,trans
0000000000000,プロデューサー,早く着きすぎたかな……\nふたりはちょっとこのあたりで待機していてくれ,是不是来得太早了呢……\n你们两个就在这附近先待命一下
3025022030001,にちか＆美琴,わかりました,明白了
3025022030010,美琴,今のうちに練習しておこう,趁现在再练一遍吧
3025022030020,にちか,はい……！,好……！
3025022030030,美琴,敬語,敬语
3025022030040,にちか,あ……\nうん！,啊……\n嗯！
3025022030050,美琴,緊張しているの？,你紧张吗？
3025022030060,にちか,ちょっとだけ……,有一点点……
3025022030070,にちか,美琴さんは──,美琴小姐──
3025022030080,にちか,──やっぱ呼び方……\nそれっぽくした方が、いい……かな,──果然称呼……\n要叫得像一点比较好……吗
3025022030090,美琴,そうかもしれないね,也许是这样吧
3025022030100,美琴,みーちゃんでいいんじゃない？,叫我「みーちゃん」不就行了吗？
3025022030110,にちか,え……！,诶……！
3025022030120,美琴,私は構わないから,我不介意的
3025022030130,にちか,…………,…………
3025022030140,にちか,じゃあ、そうする,那就那样吧
3025022030150,美琴,まだ緊張しているみたい,你好像还是有点紧张
3025022030160,にちか,いや、いけるから\n全然──,不、我能行的\n完全没问题──
0000000000000,プロデューサー,準備、できてるみたいだ！\nふたりとも、来てくれ！,看起来准备好了！\n你们两位，过来一下！
3025022030170,にちか,はい……！,是……！
3025022030180,美琴,本当に大丈夫？,真的没问题吗？
3025022030190,にちか,──大丈夫,──没问题
3025022030200,美琴,そっか\nじゃあ、行こう──,是吗\n那就走吧──
3025022030210,美琴,にちかちゃん,日花酱
3025022030220,にちか,…………\nうん──行こっか,…………\n嗯──走吧
3025022030230,にちか,みーちゃん,みーちゃん
3025022030240,美琴,『ねぇ、変な顔してる』,「诶，你那表情有点奇怪」
3025022030250,にちか,『え……何それ\nどういう意味？』,「诶……那是什么意思？\n怎么回事？」
3025022030260,美琴,『ちょっとぎこちない』,「有点僵硬啦」
3025022030270,美琴,『にちかちゃんは\nいつも通りの方がいいのに』,「日花酱其实\n还是像平时那样比较好」
3025022030280,にちか,…………！,…………！
3025022030290,にちか,『でもさ──成人式の前撮りとか……\nやっぱ緊張しちゃって──』,「不过嘛──像成人礼那种事提前拍照什么的……\n果然还是会紧张的──」
3025022030300,美琴,『大丈夫、落ち着いて』,「没事的，冷静点」
3025022030310,美琴,『ちゃんと笑えないと\nもったいないよ』,「如果笑不出来就太可惜了哦」
3025022030320,美琴,『ずっと残るんだから』,「这东西会一直留着的」
3025022030330,にちか,『えー\nそんな風に言われたら余計に緊張するんですけど』,「诶——\n被那样说反而更紧张啦」
3025022030340,美琴,『そっか』,「是吗」
3025022030350,美琴,『でも、にちかちゃんは\nそういうところが、いいのかもね』,「不过，日花酱\n可能正是因为那样才好呢」
3025022030360,にちか,『……そういうところ？\nどういうとこか、いまいちわかんないけど──』,「……那样吗？\n我还真说不清楚是哪点──」
3025022030370,にちか,『なんか落ち着いてるよね\n……みーちゃんは』,「总觉得你很沉稳呢\n……みーちゃん」
3025022030380,にちか,『……あーあ\nやっぱ私たち全然違う』,「……啊啊\n果然我们两个完全不同」
3025022030390,美琴,『だから\n長く友だちでいられるんじゃないかな』,「所以我想\n我们才能长久做朋友吧」
3025022030400,にちか,あ、あの──\n本当にオッケー、なんですかね……,那个，那个──\n真的没问题吗……
3025022030410,美琴,どうして？,为什么这么问？
3025022030420,にちか,私、結局ずっと緊張しっぱなしで……\nほんとに、そう……見えてたのかなって,我啊，其实一直都很紧张……\n真的，会不会被看出来了啊
3025022030430,美琴,仕方ないと思う\n練習の時間、短かったから,也没办法的啦\n练习时间太短了
3025022030440,美琴,でも、スタッフの評判は良かったでしょ？,不过，工作人员的评价不是挺好吗？
3025022030450,にちか,…………,…………
3025022030460,美琴,完璧にしたかったよね,想要做到完美吧
3025022030470,にちか,…………はい,…………是的
3025022030480,美琴,でも、私たちは同じユニットのアイドルでしょ？,不过，我们可是同个组合的偶像吧？
3025022030490,美琴,友だちとは違う,可不是朋友那样的关系
3025022030500,にちか,……はい,……是
3025022030510,美琴,友だちと同じくらい、特別な関係だと思う,我觉得，比朋友还要特别的关系
3025022030520,にちか,……！,……！
3025022030530,にちか,……はい,……是
3025022030540,美琴,……？,……？
info,produce_events/302502203.json,,
译者,gpt-5-mini,,
