id,name,text,trans
0000000000000,プロデューサー,それじゃあ、スケジュールについては\n一旦これで――,那么关于日程安排\n暂时就先这样——
0000000000000,プロデューサー,……あれ？,……咦？
2022013010010,小糸,ど、どうしたんですか？,怎、怎么了？
0000000000000,プロデューサー,ああ、ペンケースが閉まらないと思ったら\nファスナーが壊れてたみたいで,啊，发现笔袋拉不上\n原来是拉链坏了
0000000000000,プロデューサー,はは、そりゃあ閉まらないよな,哈哈，难怪关不上呢
2022013010020,小糸,そのままだと中身が落ちちゃいますよね\n何かまとめるものとか……,这样里面的东西会掉出来呢\n要不要找个东西先捆起来......
0000000000000,プロデューサー,そうだな、中身はひとまず輪ゴムで留めとくよ,是啊，先用橡皮筋把里面的东西固定住吧
2022013010030,小糸,そ、そうですか,这、这样啊
2022013010040,小糸,でも、そのペンケース\nお気に入りだったんじゃ……,但是这个笔袋\n不是您很喜欢的吗......
0000000000000,プロデューサー,まあ、気に入ってたし使い勝手もよかったけど……\nそこそこ古くなってたからな,虽然是挺喜欢用着也顺手......\n不过也确实用了挺久了
0000000000000,プロデューサー,買い替え時なんだと思うことにするよ,就当是到了该换新的时候吧
2022013010050,小糸,……,......
0000000000000,プロデューサー,……はは、気にしてくれてありがとうな,......哈哈，谢谢你这么在意
0000000000000,プロデューサー,でもほら、\n新しくいいペンケースが見つかるかもしれないだろ？,不过你看\n说不定能遇到更合适的新笔袋呢？
0000000000000,プロデューサー,手に馴染むものもいいけど……\n新しいものを試すいい機会だ,用惯的东西固然好......\n这也是尝试新事物的好机会
2022013010060,小糸,新しい……,新的......
2022013010070,小糸,……,......
0000000000000,プロデューサー,（……何か、小糸にとって\n気にかかることがあるのかな）,（......小糸是不是\n有什么在意的事呢）
0000000000000,プロデューサー,…………,........
select,,小糸は最近……,小糸最近......
select,,古いって言っても……,虽说旧了......
select,,とはいえ\n使い慣れてると……,但用习惯了......
0000000000000,プロデューサー,新しいと感じたものはあるか？,有觉得什么新东西不错吗？
2022013010080,小糸,……え？,......诶？
0000000000000,プロデューサー,いや、新しいといえば、学生の間ではどういうものが\n新しい……流行のものなのか、気になってきてさ,啊就是，说到新东西，学生之间现在流行\n什么样的新东西...我有点好奇
2022013010090,小糸,そ、そうですね……\n駅前のお店、とか……？,这、这个嘛......\n车站前的商店之类的......？
0000000000000,プロデューサー,お、どんなお店なんだ？,哦？是什么样的店？
2022013010100,小糸,オリジナルのキーホルダーが\n作れるところみたいで……,好像是能定制\n原创钥匙扣的地方......
2022013010110,小糸,お店の前にわたしと同じくらいの年の子たちが\n並んでるのは、よく見ます,经常看到和我同龄的女孩子\n在店前排队的场景
0000000000000,プロデューサー,なるほど、自分だけのアイテムってやつか\nそれは流行りそうだなぁ,原来如此，专属定制单品啊\n确实会流行呢
2022013010120,小糸,……？,......？
0000000000000,プロデューサー,ほら、好きな色、好きな柄のアイテムって\nやっぱり嬉しいかなって,你看，自己喜欢的颜色和花纹\n果然会让人开心吧
0000000000000,プロデューサー,市販のものから選んでもいいけど……\nカスタマイズできるのは特別感がありそうだから,虽然买现成的也行......\n但能定制感觉更有专属感
2022013010130,小糸,な、なるほど……！,原、原来如此......！
2022013010140,小糸,たしかに\nそれは、特別かもですね……！,确实\n这样很特别呢......！
0000000000000,プロデューサー,何年前から古いって呼ぶんだろうな,用多少年才算旧呢
2022013010150,小糸,……えっと……,......那个......
2022013010160,小糸,十年一昔とも言うし……\nそれくらい……？,俗话说十年一昔......\n大概这么久......？
0000000000000,プロデューサー,はは、確かに,哈哈，确实
2022013010170,小糸,でも……流行りのものとかって、１年くらいで\n古いって言われたりもしますよね……,但是......流行物品之类的\n过一年可能就会被说落伍呢......
0000000000000,プロデューサー,あー……食べものや服なんかは\nサイクルが早いかもしれないな,啊......食物和服装这些\n流行周期确实比较短
0000000000000,プロデューサー,それでいて、10年前にも流行ってたものが再流行、\nとかもあるから、不思議だよなぁ……,但十年前流行过的东西\n有时候又会重新流行，很神奇吧......
2022013010180,小糸,そうですね……,是啊......
2022013010190,小糸,（……流行が終わって、\n周りの人がそれを忘れちゃったとして）,（......就算流行过去了\n周围的人都忘记了）
2022013010200,小糸,（それでも、自分がいいなと思ったものは\n持ち続けたいけど）,（但自己喜欢的东西\n还是想一直保留）
2022013010210,小糸,（古いって言われちゃうことも、あるのかな……）,（这样也会被说落伍吗......）
0000000000000,プロデューサー,これ以上のものを探したり挑戦するよりも\nもうちょっといける、またそのうち……って言いながら,"比起寻找更好的或挑战新事物\n总想着""这个还能用""""改天再说"""
0000000000000,プロデューサー,結局、俺のペンケースみたいに\n新調するタイミングを逃して壊れちゃうこともある,结果就像我的笔袋这样\n错过更换时机最后坏掉
2022013010220,小糸,……？　そうですね……？,......？是这样呢......？
0000000000000,プロデューサー,小糸も、そういうことってあるか？,小糸也有这种情况吗？
2022013010230,小糸,……,......
2022013010240,小糸,えっと、わたしは\nプロデューサーさんと似てて──,那个，我和制作人先生\n比较像——
2022013010250,小糸,あんまり、頻繁にものを買い替えないので……\nお気に入りを長く、使うことが多いかもしれません,不太经常更换物品......\n喜欢的东西会长期使用
2022013010260,小糸,が、学年が上がったりとか\nそういう節目で変えることはあるんですけど……,不过升学这种节点\n还是会换新就是了......
0000000000000,プロデューサー,確かに、小糸はもの持ちがよさそうだもんなぁ,确实，小糸看起来就很爱惜物品
2022013010270,小糸,も、もの持ちというか……,与其说爱惜......
2022013010280,小糸,ものは、大事に使うようにしてるので……！,我只是习惯好好使用物品......！
info,produce_events/202201301.json,,
译者,deepseek-chat,,
