id,name,text,trans
4902100040010,甘奈,甘奈と、プロデューサーさんの思い出,这是属于甘奈和制作人先生的回忆
4902100040020,甘奈,これからもたくさん\n増やしていけるんだ、って,想到今后还能创造更多\n这样的回忆
4902100040030,甘奈,そんなふうに感じられるのが、めっちゃうれしいの☆\nこれからも、ずーっとよろしくねっ！,光是这么想着就超级开心呢☆\n今后也请永远多多关照啦！
4902100040040,甜花,プロデューサーさん……\n……にへへ……,制作人先生……\n……嘿嘿……
4902100040050,甜花,……えと、なんか……\nプロデューサーさん、見てたら……嬉しいって、なった……,……那个，就是……\n只要看着制作人先生……就会觉得好开心……
4902100040060,甜花,これからも、一緒に……\n頑張ろ……！,从今以后也要……\n一起加油……！
4902100040070,千雪,いいことがあった時に\n一緒に喜んでくれて,当我遇到开心事时\n你会陪我一起欢笑
4902100040080,千雪,辛いことがあった時に\n痛みを分かち合ってくれる,当我遇到难过时\n你会分担我的痛苦
4902100040090,千雪,そんな人がいつも横にいてくれる私は\n幸せ者なんだろうなぁ、って思います,能一直拥有这样陪伴在身边的人\n我想我真是个幸福的人呢
info,special_communications/490210004.json,,
译者,deepseek-chat,,
