id,name,text,trans
3007020040010,結華,プロデューサー、いるー？,制作人，在吗~？
0000000000000,プロデューサー,おお、結華か\nいるよ。どうぞ,哦，是结华啊\n在的。请进
3007020040020,結華,はーい,好~
0000000000000,プロデューサー,どうかしたか？,有什么事吗？
3007020040030,結華,や、着替えみんなより先に終わったからさ\nこのあとのこともっかい確認しとこうと思って,那个，我比大家都先换好衣服了\n想再来确认下之后的安排
3007020040040,結華,変わりない？,没有变动吧？
0000000000000,プロデューサー,ああ\n特に変更点は聞いてないよ,嗯\n没听说有什么变更
3007020040050,結華,おっけーありがと,OK谢谢啦
0000000000000,プロデューサー,おう,噢
3007020040060,結華,……ところでＰたん,......话说P酱
0000000000000,プロデューサー,うん？,嗯？
3007020040070,結華,三峰に他に何か\n言うことないです？,对三峰\n就没有其他想说的吗？
0000000000000,プロデューサー,他に……\nああ,其他...\n啊
0000000000000,プロデューサー,結華は黒うさぎなんだな,结华是黑兔子呢
3007020040080,結華,そうだけどそうじゃないー！,虽然是但重点不是这个啦！
0000000000000,プロデューサー,ははっ,哈哈
0000000000000,プロデューサー,冗談だよ\n衣装、よく似合ってる,开玩笑的\n这身衣服很适合你
3007020040090,結華,最初からそれ言って！,一开始就该这么说嘛！
3007020040091,結華＆プロデューサー,──ふふふっ,──呵呵呵
3007020040100,結華,意地悪めー,真坏心眼
0000000000000,プロデューサー,試すような言い方するのは\n意地悪じゃないのか？,用试探的语气说话\n不也算坏心眼吗？
3007020040110,結華,今のがもう意地悪な返しじゃん！,刚才的回应就已经很坏心眼了吧！
3007020040111,結華＆プロデューサー,──,──
3007020040112,結華＆プロデューサー,──あははっ,──啊哈哈哈
info,produce_events/300702004.json,,
译者,deepseek-chat,,
