id,name,text,trans
0000000000000,プロデューサー,恋鐘がくれたチョコがけいちご\nすごく美味しかったよ！　ありがとな！,恋钟送的巧克力草莓\n真的超级好吃！谢谢啦！
4901800080010,恋鐘,んふふ～\n喜んでもらえてよかったばい～！,嘻嘻～\n能让你开心真是太好了～
0000000000000,プロデューサー,ああいうのって人柄が出るものだよな\n味はもちろん、見た目も華やかで可愛らしくて,这种东西最能体现一个人的品格啊\n不仅味道好，外观也很华丽、可爱
0000000000000,プロデューサー,まるで、恋鐘みたいだなって思ったよ,我觉得简直就像恋钟一样呢
4901800080020,恋鐘,……！,……！
4901800080030,恋鐘,うっ、うちはプロデューサーのことば考えて\n選んだけん……,呜，我可是想着制片人的\n才选的……
0000000000000,プロデューサー,はは、そうだったのか\nお互い同じようなことを考えてたんだな,哈哈，原来如此\n看来我们俩都在想同一件事呢
0000000000000,プロデューサー,こういうのって、えーと……両思いじゃなくて\n以心伝心ってやつかな,这种事嘛，那个……不是说双向情感\n而是心灵相通吧
4901800080040,恋鐘,────うちは、両思いがいいばい……,────我可是更喜欢双向情感的啊……
info,special_communications/490180008.json,,
译者,o3-mini,,
