id,name,text,trans
0000000000000,プロデューサー,終わった、な……,结束了，嗯……
6028004040010,はるき,ステージは、いつかは終わっちゃう……,舞台，总有一天也会结束的……
6028004040020,はるき,──だけど、わたしはそこで\nたくさんのものを受け取れる,──不过，我就在那里面\n能够获得很多东西
6028004040030,はるき,だから、終わりじゃないんですよね,所以，并不是真正的终点
0000000000000,プロデューサー,ああ、それに──,啊，还有──
0000000000000,プロデューサー,きっと、はるきが与えられたものも\nたくさんあるはずだよ,一定，你得到的东西\n也一定不止一点点
0000000000000,プロデューサー,感じるだろ、この熱気\n声、響き────,能感觉到吧，这股热情\n声音，都在回响────
6028004040040,はるき,はい────,是的────
6028004040050,はるき,昔の自分に、それから、この先の自分にも\n伝えたいです,我想对曾经的自己，还有未来的我说
6028004040060,はるき,どんなに苦しくても、\nあなたの直感は間違いじゃないよって,无论多么痛苦，\n你的直觉从来不会错
6028004040070,はるき,最高に素晴らしいことが、\nあなたを待ってるよって,最棒的事情，\n正在等待着你
6028004040080,はるき,ありがとうございます\nわたしをここに連れてきてくれて,谢谢你\n把我带到这里
6028004040090,はるき,わたしじゃ、見つけられなかったし\nたどり着けなかった,如果不是我，绝对找不到\n也不会走到这一步
0000000000000,プロデューサー,──ああ,──啊啊
0000000000000,プロデューサー,でも、もっといけそうだ\nはるきは,不过，我觉得阳希你还能更进一步呢
6028004040100,はるき,……ふふっ\n果ての果てまで、見にいきましょうね,……嘻嘻\n我们一起去看尽天涯海角吧
info,produce_events/602800404.json,,
译者,o3-mini,,
