id,name,text,trans
4902100060010,透,なんかあったっけ？\n今日,今天是不是有什么事来着？\n
4902100060020,透,あれ、なかった？\nふふっ、まあいいや、なんでも,啊咧，没有吗？\n嘿嘿，算了，没什么啦
4902100060030,透,ありがと、プロデューサー\n──って、言いたかっただけ,谢谢你，制作人\n──其实只是想这么说而已
4902100060040,円香,…………,…………
4902100060050,円香,……じゃ、行きましょう,……那我们走吧
4902100060060,円香,いい加減、考えてばかりいるのも\n疲れたので,毕竟总是胡思乱想\n也挺累的
4902100060070,小糸,自分がちゃんとできてるのか、\nわからなくなるときもあるんですけど……,有时候我也会怀疑\n自己到底做得好不好...
4902100060080,小糸,応援してくれる人たちに、\nお返しできるようになりたいから……！,但是我想用更好的表现\n回报支持我们的人...！
4902100060090,小糸,こ、これからも、よろしくお願いします……！,今、今后也请多多指教...！
4902100060100,雛菜,今までの雛菜もずっとかわいかったけど,虽然以前的雛菜一直都很可爱
4902100060110,雛菜,これからもっとかわいくなれるって、\n雛菜、思ってるんだ～,但雛菜觉得\n以后还能变得更可爱呢～
4902100060120,雛菜,ね、プロデューサー\n近くで見られてうれしい～？,呐，制作人\n能近距离看着我很开心吧～？
info,special_communications/490210006.json,,
译者,deepseek-chat,,
