id,name,text,trans
0000000000000,教師,卒業祝いの花のブローチ、行き渡ってますか？,毕业礼物的花胸针，大家都拿到了吗？
0000000000000,教師,１年生のみなさんはひとりひとつずつ、\nこのブローチを卒業生に渡してあげてください,一年级的同学们，请每人给毕业生送上一个\n这个胸针。
0000000000000,教師,はい、それでは３年生の教室に\n移動をお願いします,好的，那么请大家前往\n三年级的教室。
2002020030010,灯織,えっと……ご卒業おめでとうございます,嗯……那个……恭喜毕业！
2002020030020,灯織,これ、どうぞ……！,这个，请收下……！
0000000000000,３年生,わっ……ありがとう……！,哇……谢谢……！
0000000000000,３年生,…………\nこれをつけて式が終わったらもう──,……\n戴上这个，等仪式结束之后就真的要──
0000000000000,３年生,っ……ぐすっ──,呜……呜咽……
2002020030030,灯織,え……！　あのっ……\n私、何か失礼なこと……,啊……！那个……\n我是不是说了什么失礼的话……
0000000000000,３年生,ああっ、ごめんね……！\nいざ卒業だと思ったら、色々……ね,啊，对不起……！\n想到马上就要毕业了，心里有些复杂……
2002020030040,灯織,……いえ、そうですよね\nたくさんの寂しさがあると思います……,……没关系，是啊。\n一定有很多不舍吧……
0000000000000,３年生,そう、だね……\nただ、私はちょっと後悔してることがあって────,是啊……\n只是，我有点后悔的事情────
0000000000000,３年生,それが、どうしても心残りなんだ……,这件事，一直让我感到很遗憾……
2002020030050,灯織,……そうだったんですね,……原来是这样啊。
0000000000000,３年生,すごく仲の良かった子とケンカしたままに\nなっちゃってて……,我和一个关系特别好的朋友吵架了，\n最后就这样分开了……
0000000000000,３年生,もう本当にどうにもできないんだって……\nその子との関係はもう終わりなんだなって思ったら……,想到再也无法挽回和那个人的关系了……\n就觉得一切都结束了……
2002020030060,灯織,……それは──,……这真是──
2002020030070,灯織,（……卒業したら二度と\n繋ぐことができない縁かもしれない）,（……毕业后可能再也不会有\n机会修复这段关系了。）
2002020030080,灯織,──その……っ……,──那个……
0000000000000,３年生,……って、本当にごめんね！\nせっかくお祝いで来てくれたのに,……啊，真的对不起！\n明明你是来祝贺我们的……
2002020030090,灯織,……そんなことないです\n私こそ、ごめんなさい……,……没有那样的事。\n我才应该说对不起……
2002020030100,灯織,（励ましたいのに……なんて言葉を\nかけたらいいのかわからない……）,（虽然想鼓励她……却不知道该说些什么……）
0000000000000,カメラマン,はい、では目線こちらでお願いします！,好，请大家看向这边！
2002020030110,灯織,はい,好的。
2002020030120,灯織,……,……
2002020030130,灯織,……,……
0000000000000,プロデューサー,（あれ……？　いつもより少しだけ\n表情が硬いような……）,（咦……？她的表情好像比平时\n稍微僵硬了一点……）
0000000000000,プロデューサー,（……休憩のタイミングで、声をかけてみるか）,（……休息的时候，去跟她聊聊吧。）
0000000000000,カメラマン,はい、じゃあ一旦ここまでで！　休憩に入ってください\nお疲れ様でした！,好，那先到这里为止！请大家休息一下。\n辛苦了！
2002020030140,灯織,はい、ありがとうございます\nお疲れ様でした,好的，谢谢您。\n辛苦了。
0000000000000,プロデューサー,灯織、お疲れ様\nこれ、飲み物だ,灯织，辛苦了。\n这是饮料。
2002020030150,灯織,ありがとうございます,谢谢您。
0000000000000,プロデューサー,いつもより重いだろうし\n振り袖に袴での撮影、辛くないか？,穿振袖配袴拍摄，比平时更累吧？\n有没有觉得辛苦？
