id,name,text,trans
2001020010010,真乃,────────……っ,────────……
0000000000000,off,全国ツアー\n追加公演の最終日,全国巡演\n追加公演的最后一天
0000000000000,プロデューサー,真乃、お疲れ様,真乃，辛苦了
2001020010020,真乃,────プロデューサーさん……っ,────制作人先生……
0000000000000,プロデューサー,うん,嗯
0000000000000,off,今、ここで見た景色が,此时此刻，眼前的风景
0000000000000,off,７年越しに叶えた\n夢の輝きが,是跨越了7年实现的\n梦想的光辉
0000000000000,off,願わくば────,若是可以────
0000000000000,プロデューサー,真乃に届いたファンレター\nまとめておいたよ,真乃，这是粉丝们寄来的信件\n我帮你整理好了
2001020010030,真乃,ありがとうございます……っ,谢谢您……
0000000000000,プロデューサー,……うん、先日リリースしたソロ曲の感想\nみんな書いてくれてるみたいだ,……嗯，之前发布的个人单曲的感想\n大家都写在信里了
2001020010040,真乃,ほわ……,哇……
0000000000000,プロデューサー,少し緊張するか？,有点紧张吗？
2001020010050,真乃,え、えっと……\n……少しだけ……,啊，那个……\n……只有一点点……
2001020010060,真乃,初めてのソロ曲\nどんな感想をいただいたんだろうって……,第一次的个人单曲\n大家听了之后会有什么感想呢……
0000000000000,プロデューサー,うん,嗯
0000000000000,プロデューサー,俺が目を通した限りで\n心配するようなものはなかったけど,我大致看过了\n没有什么需要担心的内容
0000000000000,プロデューサー,どういう形で受け止めてもらえたかとか……\n気になるよな、色々と,不过关于大家是如何接受的\n确实会让人在意很多事情
0000000000000,プロデューサー,それじゃあ、俺は仕事に戻るけど\n真乃はそこで読んでいてもいいし、好きに過ごしてくれ,那我回去继续工作了\n真乃你可以在这里慢慢看，随意放松就好
2001020010070,真乃,……はい\nお邪魔でなければ……,……好的\n如果不打扰的话……
0000000000000,プロデューサー,もちろん、構わないよ\n……そうだ,当然没问题\n……对了
2001020010080,真乃,……？,……？
0000000000000,プロデューサー,真乃の歌を通して、真乃が見ている世界が\n俺にも見えたよ,通过真乃的歌声，我仿佛看到了\n真乃眼中的世界
0000000000000,プロデューサー,優しくて、あたたかくて\n小さなことも輝いて見える。そんな世界が,一个温柔、温暖\n连小事情也能闪耀光彩的世界
2001020010090,真乃,……,……
0000000000000,プロデューサー,一番のファンとして\nちゃんと伝えておきたいと思って,作为最忠实的粉丝\n我觉得必须把这些感受传达给你
2001020010100,真乃,……ありがとうございます……っ,……谢谢您……
0000000000000,プロデューサー,────……ふう,────……呼
0000000000000,プロデューサー,……真乃,……真乃
2001020010110,真乃,……はい……っ,……是……
0000000000000,プロデューサー,どうだった？\n初めての、ソロ曲の感想は,怎么样？\n第一次收到的个人单曲感想
2001020010120,真乃,……あたたかい言葉を、たくさんいただきました,……收到了很多温暖的话语
2001020010130,真乃,私の歌を聴いて、ファンになってくださった方も\nいたみたいで……,好像也有因为听了我的歌\n而成为粉丝的人……
0000000000000,プロデューサー,おお、すごいじゃないか！,哇，真厉害啊！
2001020010140,真乃,はい……,是的……
2001020010150,真乃,……ですが、遠方の方なので\nライブにはなかなか来られないみたいで……,……但是，因为对方住在很远的地方\n好像很难来现场看演出……
0000000000000,プロデューサー,そうか……,这样啊……
2001020010160,真乃,遠くから応援してくださる方がいるなんて\n少し前の私だったら、信じられないなって思います,有人从远方支持我们这种事情\n要是放在以前的我，真的难以置信呢
2001020010170,真乃,ですから、この広い空の下にいる\nファンのみなさんのもとへ,所以，希望能在\n这片广阔天空下的粉丝们面前
2001020010180,真乃,会いにいけたらいいんですけれど……,去和大家见面就好了……
0000000000000,プロデューサー,そうだな,是啊
0000000000000,プロデューサー,今はまだ\n羽は小さいかもしれないけど,现在虽然\n羽翼还很小
select,,一緒に育てよう,但让我们一起培育它吧
select,,真乃が願えば,只要真乃有愿望
select,,目標が出来たな,这就是我们的目标了
0000000000000,プロデューサー,真乃が行きたいところへ\n羽ばたけるように,为了让你能飞向\n你想去的地方
2001020010190,真乃,はい……,是的……
2001020010200,真乃,もっともっと\n大きな羽にしなくちゃ、ですよね,必须让翅膀变得\n更大更强才行呢，对吧
0000000000000,プロデューサー,ああ、なんてったって\n空は広いからな,没错，毕竟\n天空可是非常广阔的
0000000000000,プロデューサー,……俺と、一緒に頑張ろう,……和我一起努力吧
0000000000000,プロデューサー,俺が、必ず導いてみせる,我一定会引导你成功的
2001020010210,真乃,……はい,……好的
2001020010220,真乃,よろしくお願いします、プロデューサーさん,请多多关照，制作人先生
0000000000000,プロデューサー,ああ,嗯
2001020010230,真乃,私も、プロデューサーさんの期待に応えられるように\n……頑張ります,我也会努力\n不辜负您的期待……
2001020010240,真乃,むんっ,加油！
0000000000000,プロデューサー,夢、ともいうか\n大きくて、大事な,也可以说是梦想\n既远大又重要
2001020010250,真乃,夢……,梦想……
2001020010260,真乃,夢って、こんなふうに……\n見つけるものなんですね,梦想这种东西，就是这样\n被发现的啊
0000000000000,プロデューサー,うん,对
2001020010270,真乃,なんだか……\n胸の奥があたたかくて、力が湧いてくる気がします……,总觉得……\n心里暖暖的，充满了力量……
0000000000000,プロデューサー,ははっ、それは頼もしいな,哈哈，这真是让人放心啊
0000000000000,プロデューサー,それじゃあ\nファンのみんなのもとへ歌を届けられるように,那么，为了让歌声\n传递到粉丝们的身边
0000000000000,プロデューサー,俺と一緒に頑張ろう！,和我一起努力吧！
2001020010280,真乃,はい……っ,是的……！
info,produce_events/200102001.json,,
译者,qwen-max-0125,,
